snr_db,cond,receiver,n_seeds,bler_mean,ci_lo,ci_hi,pooled_errors,pooled_blocks,cp_lo,cp_hi,seed0,seed1,seed2,seed3,seed4
5.0,S1,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,S1,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,S1,LS-LIN,5,0.06124999999999999,0.05495338660411094,0.06754661339588905,294,4800,0.05463083274751765,0.068408808398243,0.059375,0.06041666666666667,0.05416666666666667,0.06666666666666667,0.065625
5.0,S1,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,S1,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS200,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS200,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS200,LS-LIN,5,0.09562499999999999,0.09033943897290266,0.10091056102709732,459,4800,0.08744933397939264,0.10429622402471088,0.09166666666666666,0.09479166666666666,0.10104166666666667,0.09895833333333333,0.09166666666666666
5.0,DS200,LS-LMMSE,5,0.00041666666666666664,-0.00029175768818568305,0.0011250910215190163,2,4800,5.046425012150799e-05,0.0015043243302234478,0.0,0.0,0.0010416666666666667,0.0010416666666666667,0.0
5.0,DS200,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS300,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS300,DiscNRX,5,0.00020833333333333332,-0.0003700927302495402,0.0007867593969162069,1,4800,5.274529419681177e-06,0.0011602064222732673,0.0,0.0,0.0,0.0,0.0010416666666666667
5.0,DS300,LS-LIN,5,0.161875,0.15261114948416682,0.17113885051583316,777,4800,0.15155875043586264,0.17260427115837884,0.15208333333333332,0.17083333333333334,0.16770833333333332,0.159375,0.159375
5.0,DS300,LS-LMMSE,5,0.13958333333333334,0.12969072558932299,0.1494759410773437,670,4800,0.12989667750535633,0.14971059812268067,0.13333333333333333,0.14270833333333333,0.12916666666666668,0.14791666666666667,0.14479166666666668
5.0,DS300,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS600,AINR,5,0.09375000000000001,0.01527781150914953,0.1722221884908505,450,4800,0.0856488922504983,0.10234903494701203,0.027083333333333334,0.11145833333333334,0.078125,0.19270833333333334,0.059375
5.0,DS600,DiscNRX,5,0.18916666666666665,0.08378591460910201,0.2945474187242313,908,4800,0.1781747260649309,0.20053799943050787,0.14375,0.103125,0.328125,0.1875,0.18333333333333332
5.0,DS600,LS-LIN,5,0.35041666666666665,0.3331945223655104,0.3676388109678229,1682,4800,0.33690987366426584,0.3641056367163883,0.36041666666666666,0.35,0.328125,0.36354166666666665,0.35
5.0,DS600,LS-LMMSE,5,0.8995833333333332,0.8889727224526034,0.910193944214063,4318,4800,0.8907319977263229,0.9079451531054736,0.9020833333333333,0.8885416666666667,0.903125,0.89375,0.9104166666666667
5.0,DS600,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,DS1000,AINR,5,0.31875,0.06654860806785406,0.5709513919321458,1530,4800,0.3055766042804846,0.33214419237093445,0.09791666666666667,0.46145833333333336,0.25625,0.5916666666666667,0.18645833333333334
5.0,DS1000,DiscNRX,5,0.5314583333333334,0.35104780973256916,0.7118688569340976,2551,4800,0.5172218352056406,0.5456565353684752,0.4395833333333333,0.3541666666666667,0.7229166666666667,0.6197916666666666,0.5208333333333334
5.0,DS1000,LS-LIN,5,0.47229166666666667,0.46529056045648925,0.4792927728768441,2267,4800,0.45808489747402287,0.48653216671032284,0.4635416666666667,0.475,0.47604166666666664,0.47708333333333336,0.46979166666666666
5.0,DS1000,LS-LMMSE,5,0.996875,0.9950458561810728,0.9987041438189271,4785,4800,0.9948510175019231,0.9982499388765372,0.9989583333333333,0.9958333333333333,0.9958333333333333,0.9979166666666667,0.9958333333333333
5.0,DS1000,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLA,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLA,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLA,LS-LIN,5,0.05479166666666667,0.04270685246182849,0.06687648087150486,263,4800,0.048521974263707884,0.061609519606081846,0.05520833333333333,0.042708333333333334,0.05416666666666667,0.052083333333333336,0.06979166666666667
5.0,CDLA,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLA,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLB,AINR,5,0.00041666666666666664,-0.00029175768818568305,0.0011250910215190163,2,4800,5.046425012150799e-05,0.0015043243302234478,0.0010416666666666667,0.0010416666666666667,0.0,0.0,0.0
5.0,CDLB,DiscNRX,5,0.00041666666666666664,-0.00029175768818568305,0.0011250910215190163,2,4800,5.046425012150799e-05,0.0015043243302234478,0.0010416666666666667,0.0010416666666666667,0.0,0.0,0.0
5.0,CDLB,LS-LIN,5,0.11916666666666667,0.10111458322610095,0.1372187501072324,572,4800,0.11013076239250946,0.1286685844507437,0.121875,0.115625,0.14270833333333333,0.11041666666666666,0.10520833333333333
5.0,CDLB,LS-LMMSE,5,0.0010416666666666667,-0.0002517333314622542,0.0023350666647955877,5,4800,0.00033831009656150335,0.0024292143540984752,0.0020833333333333333,0.0020833333333333333,0.0,0.0,0.0010416666666666667
5.0,CDLB,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLD,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLD,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLD,LS-LIN,5,0.08166666666666667,0.07466556045648924,0.08866777287684409,392,4800,0.07407141555379604,0.08977519085417121,0.07916666666666666,0.07604166666666666,0.08541666666666667,0.08958333333333333,0.078125
5.0,CDLD,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLD,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLE,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLE,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLE,LS-LIN,5,0.121875,0.11379771960055639,0.1299522803994436,585,4800,0.11274816258802471,0.13146447135122105,0.11666666666666667,0.12916666666666668,0.125,0.125,0.11354166666666667
5.0,CDLE,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,CDLE,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,S2,AINR,5,0.4822916666666666,0.10865909817682595,0.8559242351565073,2315,4800,0.4680659552026187,0.4965389352529733,0.20208333333333334,0.6322916666666667,0.35520833333333335,0.9364583333333333,0.28541666666666665
5.0,S2,DiscNRX,5,0.7339583333333334,0.510816656363643,0.9571000103030237,3523,4800,0.7212135192653305,0.7464179822191032,0.5885416666666666,0.553125,0.9854166666666667,0.8395833333333333,0.703125
5.0,S2,LS-LIN,5,0.36354166666666665,0.34618888475918047,0.38089444857415283,1745,4800,0.34991608345577646,0.3773334284254279,0.38229166666666664,0.35208333333333336,0.37083333333333335,0.3645833333333333,0.34791666666666665
5.0,S2,LS-LMMSE,5,1.0,1.0,1.0,4800,4800,0.9992317786802702,1.0,1.0,1.0,1.0,1.0,1.0
5.0,S2,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V30,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V30,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V30,LS-LIN,5,0.05708333333333334,0.04782851631600736,0.06633815035065932,274,4800,0.05068696708915306,0.0640248238746429,0.04791666666666667,0.06458333333333334,0.052083333333333336,0.06458333333333334,0.05625
5.0,V30,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V30,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V90,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V90,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V90,LS-LIN,5,0.06624999999999999,0.05342641027355376,0.07907358972644622,318,4800,0.05937517657959547,0.07365793910713755,0.059375,0.07604166666666666,0.075,0.052083333333333336,0.06875
5.0,V90,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V90,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V150,AINR,5,0.13666666666666666,0.12883118158440351,0.1445021517489298,656,4800,0.12706830390309612,0.14670925833497134,0.13854166666666667,0.12708333333333333,0.13958333333333334,0.14375,0.134375
5.0,V150,DiscNRX,5,0.13833333333333334,0.1353839275479536,0.14128273911871309,664,4800,0.12868433814596658,0.1484244885511775,0.140625,0.13854166666666667,0.13645833333333332,0.140625,0.13541666666666666
5.0,V150,LS-LIN,5,0.08125,0.0681234236686991,0.09437657633130091,390,4800,0.07367303563539178,0.08934076935161,0.07395833333333333,0.084375,0.06770833333333333,0.09479166666666666,0.08541666666666667
5.0,V150,LS-LMMSE,5,0.16708333333333333,0.15913128967242177,0.1750353769942449,802,4800,0.15663059223194933,0.1779426675090659,0.16458333333333333,0.16145833333333334,0.17395833333333333,0.17395833333333333,0.16145833333333334
5.0,V150,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V250,AINR,5,0.37104166666666666,0.35645431638581243,0.3856290169475209,1781,4800,0.3573531336041656,0.3848872381080248,0.3770833333333333,0.38229166666666664,0.37916666666666665,0.35833333333333334,0.35833333333333334
5.0,V250,DiscNRX,5,0.3725,0.3543785474677694,0.3906214525322306,1788,4800,0.3587996377134308,0.3863556235535568,0.37604166666666666,0.3875,0.38333333333333336,0.35208333333333336,0.36354166666666665
5.0,V250,LS-LIN,5,0.23520833333333332,0.22126598528468744,0.2491506813819792,1129,4800,0.22326961221066643,0.24746994787022816,0.2375,0.23958333333333334,0.246875,0.21666666666666667,0.23541666666666666
5.0,V250,LS-LMMSE,5,0.40145833333333336,0.38487958886601104,0.4180370778006557,1927,4800,0.3875502450132741,0.4154864030062648,0.4041666666666667,0.4114583333333333,0.415625,0.38333333333333336,0.3927083333333333
5.0,V250,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
5.0,V400,AINR,5,0.5697916666666666,0.547240467124988,0.5923428662083452,2735,4800,0.5556422239422416,0.5838561414188128,0.5802083333333333,0.546875,0.5572916666666666,0.571875,0.5927083333333333
5.0,V400,DiscNRX,5,0.569375,0.5455328979105589,0.593217102089441,2733,4800,0.555224155303271,0.5834413840927166,0.584375,0.55,0.55,0.5708333333333333,0.5916666666666667
5.0,V400,LS-LIN,5,0.5091666666666665,0.4873814178822514,0.5309519154510817,2444,4800,0.49491810389254565,0.5234040705090827,0.5354166666666667,0.4875,0.5010416666666667,0.5114583333333333,0.5104166666666666
5.0,V400,LS-LMMSE,5,0.5912499999999999,0.5678505387326154,0.6146494612673845,2838,4800,0.5771865161186515,0.6052023837587432,0.6052083333333333,0.5645833333333333,0.58125,0.59375,0.6114583333333333
5.0,V400,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,S1,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,S1,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,S1,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,S1,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,S1,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS200,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS200,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS200,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS200,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS200,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS300,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS300,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS300,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS300,LS-LMMSE,5,0.00375,0.0025931478728342533,0.004906852127165746,18,4800,0.002223955675419122,0.005920165749332135,0.003125,0.004166666666666667,0.003125,0.005208333333333333,0.003125
10.0,DS300,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS600,AINR,5,0.0024999999999999996,-0.0006149196811358363,0.005614919681135836,12,4800,0.0012924329343126696,0.004362920477594395,0.0010416666666666667,0.0,0.005208333333333333,0.005208333333333333,0.0010416666666666667
10.0,DS600,DiscNRX,5,0.006458333333333334,-0.0010500736754061627,0.01396674034207283,31,4800,0.004392218659411332,0.00915466510276839,0.005208333333333333,0.0010416666666666667,0.016666666666666666,0.00625,0.003125
10.0,DS600,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS600,LS-LMMSE,5,0.7575,0.7470963676526491,0.7679036323473508,3636,4800,0.7451165769062286,0.7695694582160313,0.7614583333333333,0.7458333333333333,0.7666666666666667,0.7520833333333333,0.7614583333333333
10.0,DS600,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS1000,AINR,5,0.006666666666666666,-0.0033769819918708036,0.016710315325204138,32,4800,0.004564333545232022,0.009398419970519779,0.0,0.007291666666666667,0.00625,0.019791666666666666,0.0
10.0,DS1000,DiscNRX,5,0.021666666666666667,0.004256138237151021,0.039077195096182314,104,4800,0.01773670445336073,0.02619236701706581,0.0125,0.00625,0.041666666666666664,0.029166666666666667,0.01875
10.0,DS1000,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,DS1000,LS-LMMSE,5,0.9204166666666665,0.9149598060965359,0.9258735272367972,4418,4800,0.9123975210188721,0.9279198775838957,0.9260416666666667,0.9177083333333333,0.921875,0.9145833333333333,0.921875
10.0,DS1000,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLA,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLA,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLA,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLA,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLA,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLB,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLB,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLB,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLB,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLB,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLD,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLD,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLD,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLD,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLD,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLE,AINR,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLE,DiscNRX,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLE,LS-LIN,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLE,LS-LMMSE,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
10.0,CDLE,PCSI,5,0.0,0.0,0.0,0,4800,0.0,0.0007682213197297113,0.0,0.0,0.0,0.0,0.0
