config,init,n_seeds,K,n,colw_mean,final_coded_ber_mean,final_coded_ber_std,post_bp_bler_mean,post_bp_bler_std,final_info_ber_mean,final_info_ber_std,init_info_implied_coded_ber_mean,init_info_implied_coded_ber_std,final_grad_info_mean,final_grad_info_std,final_grad_coded_mean,final_grad_coded_std
16QAM-K1824,zero,5,1824,3648,22.31304931640625,0.001946271932683885,0.00011208489720084482,0.0,0.0,0.5018229186534882,0.004915517683979666,0.5000068664550781,0.004021724026757055,0.0,0.0,0.02256934829056263,7.269484249917526e-05
16QAM-K1824,rand,5,1824,3648,22.31304931640625,0.0020079495618119834,0.0002768928359093484,0.0,0.0,0.20037006735801696,0.002946981158909391,0.49982182383537294,0.0024079192050906664,0.022665293887257576,0.00048514490772871496,0.021407943964004517,4.822165870642965e-05
16QAM-K1824,warm,5,1824,3648,22.31304931640625,0.0017886513378471136,0.00027132446622434763,0.0,0.0,0.15504386126995087,0.003046958683335519,0.42026453018188475,0.0025969475323034457,0.021132593601942064,0.0004088691635998558,0.0186195470392704,9.573400112034118e-05
64QAM-K2736,zero,5,2736,5472,22.36184310913086,0.04986293911933899,0.0011833984616152723,0.0,0.0,0.49850147366523745,0.0013616030085267582,0.49997716546058657,0.001996635874274301,0.0,0.0,0.01572139039635658,6.932539351493729e-05
64QAM-K2736,rand,5,2736,5472,22.36184310913086,0.05022386759519577,0.0012471829203574392,0.0,0.0,0.28045504689216616,0.0019446766111252602,0.4980720102787018,0.0023464285768119296,0.016290899366140366,0.00033831663809086207,0.015162860788404942,2.8483059203425414e-05
64QAM-K2736,warm,5,2736,5472,22.36184310913086,0.05024671107530594,0.0009391740686169297,0.0,0.0,0.2299250692129135,0.0019225552251615808,0.4209475517272949,0.0030143338357213607,0.014951006881892681,0.0001171000960590288,0.013179175741970538,4.074168484770197e-05
16QAM-K576,zero,5,576,1152,21.16666603088379,0.0017795139225199818,0.00028295151659505784,0.0,0.0,0.5010416746139527,0.007173619016048878,0.5045355975627899,0.005120210184311391,0.0,0.0,0.022594156116247176,0.00010754010519628489
16QAM-K576,rand,5,576,1152,21.16666603088379,0.0016493055503815413,0.00023523743862763938,0.0,0.0,0.20447048544883728,0.006858121280775001,0.5011067807674408,0.00458268003940293,0.022622762620449065,0.00028414840609860837,0.02132783867418766,0.00017906766946534266
16QAM-K576,warm,5,576,1152,21.16666603088379,0.001627604220993817,0.0004059958326675451,0.0,0.0,0.16119791567325592,0.005055542007284862,0.41853298544883727,0.0077411189630571505,0.020662089809775352,0.0001799857126039668,0.018573128432035447,0.0002662662015271136
