step,info_rand,coded_rand,ginfo_rand,gcoded_rand,info_warm,coded_warm,ginfo_warm,gcoded_warm,info_zero,coded_zero,ginfo_zero,gcoded_zero
1200,0.200219,0.00204907,0.0339737,0.0316457,0.154756,0.00182977,0.0318855,0.0274767,0.501823,0.00196683,0,0.0333019
1225,0.200219,0.00206277,0.0324522,0.030539,0.154825,0.00182977,0.0305158,0.0265206,0.501823,0.00193942,0,0.0321439
1250,0.200206,0.00205592,0.0314134,0.0294897,0.154825,0.00180921,0.0292577,0.0256137,0.501823,0.00193942,0,0.0310461
1275,0.200233,0.00205592,0.0305061,0.0284937,0.154852,0.00180921,0.028617,0.0247522,0.501823,0.00195312,0,0.0300026
1300,0.200247,0.00205592,0.0293349,0.0275474,0.154879,0.00181606,0.0289285,0.0239335,0.501823,0.00195312,0,0.0290104
1325,0.20026,0.00204221,0.0285258,0.0266471,0.154921,0.00180921,0.0265379,0.0231545,0.501823,0.00194627,0,0.0280663
1350,0.200315,0.00202851,0.027547,0.0257896,0.154948,0.00180236,0.0259844,0.0224128,0.501823,0.00194627,0,0.027167
1375,0.200329,0.00202166,0.0267066,0.0249722,0.154962,0.0017955,0.0248046,0.0217056,0.501823,0.00193942,0,0.0263108
1400,0.200315,0.00202166,0.0258412,0.0241925,0.154989,0.00180236,0.0247282,0.0210312,0.501823,0.00193942,0,0.0254929
1425,0.200356,0.00202166,0.0249133,0.0234484,0.155016,0.0017955,0.0230102,0.0203873,0.501823,0.00193257,0,0.024712
1450,0.200356,0.0020148,0.0241814,0.0227376,0.15503,0.00178865,0.0225505,0.0197718,0.501823,0.00193942,0,0.0239658
1475,0.20037,0.00200795,0.0232334,0.0220581,0.15503,0.00178865,0.0220541,0.019183,0.501823,0.00193942,0,0.0232522
1500,0.20037,0.00200795,0.0226653,0.0214079,0.155044,0.00178865,0.0211326,0.0186195,0.501823,0.00194627,0,0.0225693
