variant,cond,n_seeds,mean_diff_vs_full,ci_lo,ci_hi,p_raw,p_holm
no_detach,DS600,3,0.03489583333333333,-0.001429234077359537,0.07122090074402619,0.053847840638266135,0.1615435219147984
no_detach,DS1000,3,0.049999999999999996,-0.031510768666807694,0.1315107686668077,0.1185609779340165,0.1615435219147984
no_detach,S2,3,0.05651041666666667,-0.0068637396811488185,0.11988457301448216,0.06171318407781853,0.1615435219147984
no_detach,V250,3,0.035677083333333325,0.028861454477758976,0.042492712188907676,0.001965525552901449,0.007862102211605796
pure_vfe,DS600,3,0.94140625,0.9082998321048343,0.9745126678951657,6.679656425206327e-05,0.00013359312850412655
pure_vfe,DS1000,3,0.9994791666666667,0.9983586841849612,1.0005996491483722,6.788753113448703e-08,2.7155012453794813e-07
pure_vfe,S2,3,0.9934895833333334,0.9821179281259179,1.0048612385407487,7.076907675884725e-06,2.1230723027654175e-05
pure_vfe,V250,3,0.06197916666666666,0.016992108985636904,0.10696622434769643,0.027298507922093363,0.027298507922093363
