receiver,snr_db,n_seeds,bler_before,before_lo,before_hi,bler_after,after_lo,after_hi,updates_mean,false_pass_total
AINR,15.0,5,0.0608,0.043720912833082395,0.0778790871669176,0.0128,0.007359300954733955,0.018240699045266047,589.4,0
AINR,5.0,5,0.1252,0.12068881066740192,0.1297111893325981,0.1008,0.09796857044603546,0.10363142955396454,560.2,0
DiscNRX,15.0,5,0.076,0.06814702735408977,0.08385297264591023,0.01,0.01,0.01,592.0,0
DiscNRX,5.0,5,0.1312,0.12404560143105979,0.13835439856894025,0.07279999999999999,0.05242762710899885,0.09317237289100114,565.6,0
