snr_db,severity,bler_AINR,bler_AINR_lo,bler_AINR_hi,bler_DiscNRX,bler_DiscNRX_lo,bler_DiscNRX_hi,bler_LSLIN,bler_LSLIN_lo,bler_LSLIN_hi,bler_LSLMMSE,bler_LSLMMSE_lo,bler_LSLMMSE_hi,bler_PCSI,bler_PCSI_lo,bler_PCSI_hi,z_resid,z_resid_lo,z_resid_hi,auc_resid,auc_resid_lo,auc_resid_hi,z_tdisp,z_tdisp_lo,z_tdisp_hi,auc_tdisp,auc_tdisp_lo,auc_tdisp_hi,z_conf_a,z_conf_a_lo,z_conf_a_hi,auc_conf_a,auc_conf_a_lo,auc_conf_a_hi,z_conf_d,z_conf_d_lo,z_conf_d_hi,auc_conf_d,auc_conf_d_lo,auc_conf_d_hi,z_comb,z_comb_lo,z_comb_hi,auc_comb,auc_comb_lo,auc_comb_hi,n_seeds
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.250376,-0.314919,-0.185833,0.5,0.5,0.5,-0.193341,-0.3456,-0.0410814,0.5,0.5,0.5,-0.192879,-0.256689,-0.12907,0.5,0.5,0.5,-0.192652,-0.253247,-0.132057,0.5,0.5,0.5,0.270683,0.158776,0.38259,0.5,0.5,0.5,5
10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.219237,-0.335366,-0.103108,0.508909,0.492837,0.524981,0.193311,0.0798718,0.306749,0.612318,0.605535,0.6191,0.186839,0.042823,0.330855,0.626025,0.599774,0.652275,0.24287,0.103809,0.38193,0.632981,0.60962,0.656342,0.562562,0.437056,0.688068,0.587626,0.578124,0.597128,5
10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746784,-0.0364534,0.18581,0.600437,0.587,0.613875,2.50147,2.1689,2.83404,0.836434,0.820148,0.85272,2.50372,1.74366,3.26378,0.84702,0.827184,0.866855,2.75611,2.0075,3.50472,0.849967,0.832141,0.867793,2.70757,2.4864,2.92874,0.816135,0.802593,0.829676,5
10,150,0.0427083,0.0278765,0.0575402,0.0427083,0.032648,0.0527686,0,0,0,0.0889583,0.0733141,0.104603,0,0,0,0.402672,0.259949,0.545396,0.680023,0.673925,0.686122,6.73875,5.78065,7.69685,0.907521,0.892252,0.922791,5.82705,4.49911,7.15499,0.905646,0.899617,0.911675,6.56769,4.89495,8.24043,0.909044,0.90531,0.912778,6.7701,5.84784,7.69237,0.895345,0.881595,0.909094,5
10,250,0.306458,0.280876,0.33204,0.308125,0.278554,0.337696,0,0,0,0.349583,0.32377,0.375396,0,0,0,1.04636,0.819329,1.27338,0.783072,0.774253,0.791892,17.1118,14.3168,19.9069,0.960767,0.956471,0.965064,10.5295,7.48446,13.5746,0.953496,0.949377,0.957615,11.9813,8.83936,15.1232,0.955349,0.950926,0.959772,17.1118,14.3168,19.9069,0.953622,0.949384,0.95786,5
10,400,0.516458,0.484352,0.548565,0.516458,0.481091,0.551825,0.0858333,0.0809423,0.0907244,0.552083,0.524403,0.579763,0,0,0,2.29349,1.88647,2.70051,0.874599,0.86113,0.888068,42.1142,35.6638,48.5646,0.985571,0.982342,0.9888,16.8977,12.3599,21.4356,0.98154,0.977654,0.985426,19.6272,14.6452,24.6092,0.981739,0.978292,0.985187,42.1142,35.6638,48.5646,0.982605,0.978556,0.986654,5
