receiver,step,cond,n_seeds,bler_mean,ci_lo,ci_hi
AINR,12000,DS1000,3,0.00034722222222222224,-0.0011467544200518965,0.001841198864496341
AINR,12000,DS600,3,0.00034722222222222224,-0.0011467544200518965,0.001841198864496341
AINR,12000,S1,3,0.0,0.0,0.0
AINR,12000,S2,3,0.0045138888888888885,-0.010648318054331711,0.01967609583210949
AINR,12000,V250,3,0.4017361111111111,0.3624641281016741,0.44100809412054814
AINR,25000,DS1000,3,0.08680555555555557,-0.126895779430786,0.3005068905418971
AINR,25000,DS600,3,0.02013888888888889,-0.02682048305291546,0.06709826083069324
AINR,25000,S1,3,0.0,0.0,0.0
AINR,25000,S2,3,0.1625,-0.21361733569158928,0.5386173356915893
AINR,25000,V250,3,0.39305555555555555,0.36111798274701357,0.4249931283640975
AINR,50000,DS1000,3,0.33993055555555557,-0.20725865741512112,0.8871197685262322
AINR,50000,DS600,3,0.10381944444444445,-0.061310598730594315,0.26894948761948323
AINR,50000,S1,3,0.0,0.0,0.0
AINR,50000,S2,3,0.5229166666666667,-0.34500918902844535,1.3908425223617789
AINR,50000,V250,3,0.3840277777777778,0.3307239975895772,0.4373315579659784
DiscNRX,12000,DS1000,3,0.005902777777777778,-0.008811185731184827,0.020616741286740382
DiscNRX,12000,DS600,3,0.0024305555555555556,-0.0029560538325093012,0.007817164943620412
DiscNRX,12000,S1,3,0.0,0.0,0.0
DiscNRX,12000,S2,3,0.026736111111111113,-0.0065363285199060706,0.0600085507421283
DiscNRX,12000,V250,3,0.4059027777777778,0.36304361085978093,0.44876194469577463
DiscNRX,25000,DS1000,3,0.29583333333333334,0.21687839923801416,0.3747882674286525
DiscNRX,25000,DS600,3,0.08020833333333333,0.05999819191864007,0.10041847474802658
DiscNRX,25000,S1,3,0.0,0.0,0.0
DiscNRX,25000,S2,3,0.4392361111111111,0.3024984757594155,0.5759737464628067
DiscNRX,25000,V250,3,0.40347222222222223,0.3580346965183935,0.448909747926051
DiscNRX,50000,DS1000,3,0.6184027777777777,0.3544462337438499,0.8823593218117056
DiscNRX,50000,DS600,3,0.22118055555555557,0.026344005442666463,0.4160171056684447
DiscNRX,50000,S1,3,0.0,0.0,0.0
DiscNRX,50000,S2,3,0.8427083333333334,0.4825793836104079,1.2028372830562588
DiscNRX,50000,V250,3,0.3902777777777778,0.38489116838971293,0.3956643871658426
