snr_db,AINR,AINR_lo,AINR_hi,DiscNRX,DiscNRX_lo,DiscNRX_hi,LSLIN,LSLIN_lo,LSLIN_hi,LSLMMSE,LSLMMSE_lo,LSLMMSE_hi,PCSI,PCSI_lo,PCSI_hi
0.0,0.9988,0.996579,1,0.9988,0.995468,1,1,1,1,0.99,0.99,0.99,0.948,0.948,0.948
5.0,0.126,0.117397,0.134603,0.1316,0.124709,0.138491,0.228,0.228,0.228,0.154,0.154,0.154,nan,nan,nan
10.0,0.0848,0.0738903,0.0957097,0.096,0.0883459,0.103654,nan,nan,nan,0.11,0.11,0.11,nan,nan,nan
15.0,0.0612,0.0457314,0.0766686,0.0768,0.0710829,0.0825171,nan,nan,nan,0.094,0.094,0.094,nan,nan,nan
20.0,0.0524,0.0413778,0.0634222,0.0684,0.05533,0.08147,nan,nan,nan,0.092,0.092,0.092,nan,nan,nan
25.0,0.0508,0.0355321,0.0660679,0.0672,0.0544646,0.0799354,nan,nan,nan,0.09,0.09,0.09,nan,nan,nan
