snr_db,cond,n_blocks,bler_Broad,cp_lo_Broad,cp_hi_Broad,bler_DiscNRX,cp_lo_DiscNRX,cp_hi_DiscNRX,bler_AINR,cp_lo_AINR,cp_hi_AINR,bler_LS-LIN,cp_lo_LS-LIN,cp_hi_LS-LIN,bler_LS-LMMSE,cp_lo_LS-LMMSE,cp_hi_LS-LMMSE,broad_only_errors,narrow_only_errors,mcnemar_p,crc_false_pass_broad,auc_conf_b,tpr05_conf_b,fpr05_conf_b,auc_conf_d,tpr05_conf_d,fpr05_conf_d
5.0,S1,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.071875,0.0563501303303247,0.0900843889589941,0.0,0.0,0.003835209490712123,0,0,1.0,0,,,,,,
5.0,DS200,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.10416666666666667,0.08555970768446947,0.125240689875928,0.0010416666666666667,2.63723688932673e-05,0.005789994833087895,0,0,1.0,0,0.5960286458333334,0.08229166666666667,0.034375,0.8879513888888889,0.6635416666666667,0.07916666666666666
5.0,DS300,960,0.0,0.0,0.003835209490712123,0.0010416666666666667,2.63723688932673e-05,0.005789994833087895,0.0,0.0,0.003835209490712123,0.16666666666666666,0.14362217979150332,0.19177614475843965,0.12604166666666666,0.10569819998275289,0.14870966369778815,0,1,1.0,0,0.6651784939236111,0.13958333333333334,0.034375,0.990439453125,0.9739583333333334,0.07916666666666666
5.0,DS600,960,0.0,0.0,0.003835209490712123,0.12291666666666666,0.10280738932242399,0.1453706826326934,0.021875,0.013590748909834804,0.03324467922446935,0.3416666666666667,0.3116693896914454,0.3726389755464083,0.8854166666666666,0.8635547743556861,0.9048796996638357,0,118,6.018531076210112e-36,0,0.8065190972222223,0.29375,0.034375,0.9999782986111111,1.0,0.07916666666666666
5.0,DS1000,960,0.0,0.0,0.003835209490712123,0.4635416666666667,0.4316295740615169,0.49567803091649626,0.11458333333333333,0.09512030033616418,0.13644522564431397,0.4708333333333333,0.4388685550346553,0.5029775253261191,0.996875,0.9908948202700999,0.9993550856464937,0,445,2.2013136429275836e-134,0,0.8947032335069445,0.525,0.034375,1.0,1.0,0.07916666666666666
5.0,CDLA,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.046875,0.03439324701146392,0.0622224134750357,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.33270182291666667,0.0010416666666666667,0.034375,0.4182438151041667,0.022916666666666665,0.07916666666666666
5.0,CDLB,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.115625,0.09607939109665248,0.13756268333070615,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.6222710503472222,0.11354166666666667,0.034375,0.7822954644097222,0.4666666666666667,0.07916666666666666
5.0,CDLD,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0875,0.0703920717646662,0.10718580724443795,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.2914208984375,0.0020833333333333333,0.034375,0.6888422309027777,0.17083333333333334,0.07916666666666666
5.0,CDLE,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.13541666666666666,0.11439546441794345,0.15870202279012213,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.38290907118055556,0.0020833333333333333,0.034375,0.7776508246527778,0.346875,0.07916666666666666
5.0,S2,960,0.0,0.0,0.003835209490712123,0.5739583333333333,0.5419696261046079,0.6054920089326461,0.21666666666666667,0.19098677507404005,0.24409715675865742,0.375,0.3442782085320252,0.40649120805620026,1.0,0.9961647905092879,1.0,0,551,2.7133285516175262e-166,0,0.6949788411458333,0.259375,0.034375,1.0,1.0,0.07916666666666666
5.0,V30,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.06041666666666667,0.046192959228993934,0.07740573170471772,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.5116292317708333,0.04479166666666667,0.034375,0.5402815755208333,0.084375,0.07916666666666666
5.0,V90,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.065625,0.0507929636020873,0.08318529899139591,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.5204475911458334,0.058333333333333334,0.034375,0.7102620442708333,0.31875,0.07916666666666666
5.0,V150,960,0.0,0.0,0.003835209490712123,0.128125,0.10762776231548261,0.15093331991437386,0.13125,0.11052554088145461,0.1542654033862048,0.09166666666666666,0.0741674672448666,0.1117158076827214,0.165625,0.14264272857391214,0.1906788599292507,0,123,1.88079096131566e-37,0,0.5826188151041667,0.071875,0.034375,0.807353515625,0.5416666666666666,0.07916666666666666
5.0,V250,960,0.12395833333333334,0.10377051507668765,0.1464841491751307,0.36666666666666664,0.3361111589390323,0.3980429674452603,0.36354166666666665,0.3330510332953595,0.39487236361839295,0.24479166666666666,0.21788933414869327,0.273269161645189,0.39166666666666666,0.3606411674362432,0.42335887549745355,0,233,1.448908652612274e-70,0,0.7173182508680556,0.2989583333333333,0.034375,0.8930588107638889,0.7135416666666666,0.07916666666666666
