snr_db,cond,severity,bler_AINR,bler_AINR_lo,bler_AINR_hi,bler_DiscNRX,bler_DiscNRX_lo,bler_DiscNRX_hi,bler_LS-LIN,bler_LS-LIN_lo,bler_LS-LIN_hi,bler_LS-LMMSE,bler_LS-LMMSE_lo,bler_LS-LMMSE_hi,bler_PCSI,bler_PCSI_lo,bler_PCSI_hi,z_resid,z_resid_lo,z_resid_hi,auc_resid,auc_resid_lo,auc_resid_hi,z_tdisp,z_tdisp_lo,z_tdisp_hi,auc_tdisp,auc_tdisp_lo,auc_tdisp_hi,z_conf_a,z_conf_a_lo,z_conf_a_hi,auc_conf_a,auc_conf_a_lo,auc_conf_a_hi,z_conf_d,z_conf_d_lo,z_conf_d_hi,auc_conf_d,auc_conf_d_lo,auc_conf_d_hi,z_comb,z_comb_lo,z_comb_hi,auc_comb,auc_comb_lo,auc_comb_hi,n_seeds
5.0,S1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.06124999999999999,0.05495338660411094,0.06754661339588905,0.0,0.0,0.0,0.0,0.0,0.0,-0.22511094087889422,-0.36228020897884905,-0.08794167277893941,0.5,0.5,0.5,-0.18400240667017284,-0.3581597208795516,-0.00984509246079407,0.5,0.5,0.5,-0.07373284349276418,-0.27440723046457244,0.12694154347904407,0.5,0.5,0.5,-0.06723931123568139,-0.23321947106156557,0.0987408485902028,0.5,0.5,0.5,0.3389955624467237,0.20296303114294584,0.47502809375050153,0.5,0.5,0.5,5
5.0,V30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.05708333333333334,0.04782851631600736,0.06633815035065932,0.0,0.0,0.0,0.0,0.0,0.0,-0.2283965561651832,-0.37043579198261034,-0.08635732034775603,0.5020981987847223,0.484425226374666,0.5197711711947786,-0.05960201488204401,-0.23391225598714163,0.11470822622305363,0.5295852864583334,0.5128147357593223,0.5463558371573444,0.0595557244910754,-0.12921121553941822,0.24832266452156904,0.5347889539930556,0.5244332664487135,0.5451446415373977,0.06867028460847409,-0.07591926872024286,0.21325983793719105,0.5381759982638888,0.528513882833976,0.5478381136938016,0.4140398518248487,0.2636827965100573,0.5643969071396401,0.5184478081597221,0.5047745540835816,0.5321210622358626,5
5.0,V90,90,0.0,0.0,0.0,0.0,0.0,0.0,0.06624999999999999,0.05342641027355376,0.07907358972644622,0.0,0.0,0.0,0.0,0.0,0.0,-0.06674234749588621,-0.1920067706428813,0.05852207565110888,0.5536999782986112,0.5379848799828978,0.5694150766143246,0.4638422109726454,0.3697617141623091,0.5579227077829817,0.6547210286458333,0.6388471067739551,0.6705949505177115,0.8295197388139461,0.6451726887925728,1.0138667888353194,0.7076366102430556,0.6882758224667423,0.7269973980193688,0.8753444578250693,0.653186819056927,1.0975020965932116,0.7161165364583333,0.7039259589786994,0.7283071139379672,0.850718991446332,0.7019372567507273,0.9995007261419367,0.6318189019097222,0.6159460576787026,0.6476917461407419,5
5.0,V150,150,0.13666666666666666,0.12883118158440351,0.1445021517489298,0.13833333333333334,0.1353839275479536,0.14128273911871309,0.08125,0.0681234236686991,0.09437657633130091,0.16708333333333333,0.15913128967242177,0.1750353769942449,0.0,0.0,0.0,0.23074641650482483,0.06902735780903335,0.3924654752006163,0.6298787977430556,0.6093833344463385,0.6503742610397726,1.8686187089263107,1.6732532387821548,2.0639841790704665,0.794421875,0.7808241436156924,0.8080196063843077,1.7004652944263712,1.5763390918967946,1.8245914969559478,0.8119740668402777,0.7983415581994631,0.8256065754810924,1.8014196687223099,1.5758406091019816,2.026998728342638,0.8185034722222222,0.8057631514809953,0.8312437929634491,2.099471572593602,1.9558491919144125,2.243093953272792,0.7723044704861112,0.757486404112438,0.7871225368597844,5
5.0,V250,250,0.37104166666666666,0.35645431638581243,0.3856290169475209,0.3725,0.3543785474677694,0.3906214525322306,0.23520833333333332,0.22126598528468744,0.2491506813819792,0.40145833333333336,0.38487958886601104,0.4180370778006557,0.0,0.0,0.0,0.8555838249801806,0.572906582691973,1.1382610672683882,0.7433404947916666,0.7333013715584275,0.7533796180249058,5.949004964121471,5.08406487269746,6.813945055545482,0.8869021267361111,0.8803241937681026,0.8934800597041197,3.112985929044121,2.871194347019889,3.354777511068353,0.8927169053819446,0.8815889041587766,0.9038449066051126,3.3026196962089456,2.997380554460272,3.607858837957619,0.8960629340277778,0.8881848195236547,0.9039410485319009,5.98494564280452,5.131548271515389,6.83834301409365,0.8734976128472223,0.8702344478759437,0.8767607778185008,5
5.0,V400,400,0.5697916666666666,0.547240467124988,0.5923428662083452,0.569375,0.5455328979105589,0.593217102089441,0.5091666666666665,0.4873814178822514,0.5309519154510817,0.5912499999999999,0.5678505387326154,0.6146494612673845,0.0,0.0,0.0,2.0261791313438975,1.6663547477438296,2.3860035149439653,0.8416354166666666,0.8176619187954653,0.8656089145378679,18.17634637621314,15.634549718745154,20.718143033681123,0.9519468315972223,0.9484129154292693,0.9554807477651752,5.859376249562116,5.370461926104849,6.348290573019383,0.9467958984375,0.9408831632679224,0.9527086336070776,6.446445112068846,5.6599160660792975,7.232974158058395,0.9496369357638889,0.9470214321708726,0.9522524393569051,18.25646078044507,15.89107924783073,20.62184231305941,0.9437109374999999,0.9412396418952823,0.9461822331047175,5
10.0,S1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2503759488347249,-0.31491883608462057,-0.18583306158482926,0.5,0.5,0.5,-0.19334063170224652,-0.3455998707257953,-0.04108139267869776,0.5,0.5,0.5,-0.19287939751316532,-0.256689265521295,-0.12906952950503564,0.5,0.5,0.5,-0.19265209502879316,-0.25324695928822594,-0.13205723076936035,0.5,0.5,0.5,0.27068263404309595,0.15877556335795745,0.38258970472823445,0.5,0.5,0.5,5
10.0,V30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21923729286526364,-0.3353662910599552,-0.10310829467057206,0.5089085286458335,0.49283655711236607,0.5249805001793009,0.1933105600152028,0.07987175536052833,0.3067493646698773,0.6123175998263889,0.6055347712611048,0.619100428391673,0.1868389172607104,0.0428229928056201,0.3308548417158007,0.6260247395833333,0.5997742855436733,0.6522751936229932,0.2428697926860568,0.10380942698356294,0.38193015838855066,0.6329812282986111,0.6096200994415477,0.6563423571556746,0.5625616853613433,0.43705581642980806,0.6880675542928786,0.5876258680555555,0.5781238992353894,0.5971278368757216,5
10.0,V90,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07467840650051356,-0.03645338083755505,0.18581019383858216,0.6004375,0.5869997593842934,0.6138752406157065,2.5014695139660823,2.1688960248091815,2.834043003122983,0.8364344618055556,0.8201484709656331,0.852720452645478,2.5037219370322705,1.7436603334475413,3.2637835406169997,0.8470197482638889,0.8271841631656895,0.8668553333620883,2.75610991988359,2.0075005595800985,3.5047192801870817,0.849967013888889,0.8321407295355364,0.8677932982422415,2.7075686724725987,2.4863976401606878,2.9287397047845096,0.8161345486111111,0.8025931432565808,0.8296759539656414,5
10.0,V150,150,0.042708333333333334,0.027876469407867803,0.057540197258798866,0.042708333333333334,0.03264804232923343,0.05276862433743324,0.0,0.0,0.0,0.08895833333333333,0.073314073551551,0.10460259311511566,0.0,0.0,0.0,0.40267235134272983,0.25994864629303693,0.5453960563924227,0.6800232204861111,0.6739246211205566,0.6861218198516655,6.738751180753036,5.7806485279044955,7.696853833601577,0.907521484375,0.8922518252555345,0.9227911434944656,5.827053851343602,4.499113441097503,7.154994261589701,0.9056461588541668,0.899617125976465,0.9116751917318685,6.567688118928274,4.894949554336506,8.240426683520042,0.909043728298611,0.9053099143383514,0.9127775422588706,6.770104311940057,5.847842715013028,7.692365908867085,0.8953446180555555,0.8815947639896707,0.9090944721214403,5
