fpr,S2_resid,S2_comb,S2_conf_d,S2_tdisp,V90_resid,V90_comb,V90_conf_d,V90_tdisp,V250_resid,V250_comb,V250_conf_d,V250_tdisp
0.480,1.0000,1.0000,1.0000,0.6962,0.5537,0.6448,0.7585,0.6746,0.8067,0.8912,0.9229,0.9010
0.490,1.0000,1.0000,1.0000,0.7060,0.5625,0.6523,0.7667,0.6817,0.8121,0.8946,0.9246,0.9042
0.500,1.0000,1.0000,1.0000,0.7154,0.5737,0.6604,0.7733,0.6913,0.8196,0.8965,0.9271,0.9085
0.510,1.0000,1.0000,1.0000,0.7217,0.5852,0.6692,0.7800,0.6981,0.8252,0.8992,0.9296,0.9104
0.520,1.0000,1.0000,1.0000,0.7298,0.5950,0.6779,0.7860,0.7113,0.8287,0.9023,0.9325,0.9146
0.530,1.0000,1.0000,1.0000,0.7348,0.6077,0.6831,0.7902,0.7198,0.8337,0.9040,0.9350,0.9175
0.540,1.0000,1.0000,1.0000,0.7410,0.6190,0.6927,0.7975,0.7244,0.8404,0.9067,0.9367,0.9192
0.550,1.0000,1.0000,1.0000,0.7512,0.6317,0.7000,0.8056,0.7340,0.8452,0.9090,0.9398,0.9215
0.560,1.0000,1.0000,1.0000,0.7573,0.6402,0.7127,0.8113,0.7383,0.8488,0.9137,0.9419,0.9229
0.570,1.0000,1.0000,1.0000,0.7658,0.6515,0.7204,0.8152,0.7469,0.8542,0.9167,0.9452,0.9254
0.580,1.0000,1.0000,1.0000,0.7702,0.6613,0.7271,0.8192,0.7521,0.8594,0.9190,0.9463,0.9283
0.590,1.0000,1.0000,1.0000,0.7800,0.6698,0.7321,0.8248,0.7579,0.8650,0.9204,0.9483,0.9296
0.600,1.0000,1.0000,1.0000,0.7871,0.6821,0.7404,0.8300,0.7640,0.8704,0.9235,0.9502,0.9323
0.610,1.0000,1.0000,1.0000,0.7927,0.6917,0.7467,0.8348,0.7712,0.8750,0.9254,0.9527,0.9340
0.620,1.0000,1.0000,1.0000,0.7996,0.7025,0.7533,0.8406,0.7750,0.8815,0.9269,0.9560,0.9352
0.630,1.0000,1.0000,1.0000,0.8056,0.7117,0.7592,0.8448,0.7810,0.8862,0.9300,0.9579,0.9369
0.640,1.0000,1.0000,1.0000,0.8108,0.7215,0.7679,0.8517,0.7900,0.8904,0.9317,0.9606,0.9396
0.650,1.0000,1.0000,1.0000,0.8165,0.7331,0.7765,0.8573,0.7998,0.8950,0.9331,0.9615,0.9429
0.660,1.0000,1.0000,1.0000,0.8217,0.7396,0.7831,0.8610,0.8065,0.8977,0.9348,0.9627,0.9458
0.670,1.0000,1.0000,1.0000,0.8283,0.7515,0.7892,0.8679,0.8125,0.9017,0.9381,0.9637,0.9483
0.680,1.0000,1.0000,1.0000,0.8333,0.7610,0.7948,0.8742,0.8175,0.9069,0.9396,0.9660,0.9496
0.690,1.0000,1.0000,1.0000,0.8410,0.7715,0.8015,0.8802,0.8250,0.9108,0.9437,0.9679,0.9523
