severity,e_time,e_taps,e_total
100,2.15812e-05,0.0204479,0.0204695
200,2.20302e-05,0.0522541,0.0522762
300,1.83477e-05,0.0700698,0.0700882
600,2.1232e-05,0.0363453,0.0363665
1000,2.1182e-05,0.0699173,0.0699385
