slot,AINR_none,AINR_none_lo,AINR_none_hi,AINR_ungated,AINR_ungated_lo,AINR_ungated_hi,AINR_gated,AINR_gated_lo,AINR_gated_hi,AINR_trig,AINR_trig_lo,AINR_trig_hi,DiscNRX_none,DiscNRX_none_lo,DiscNRX_none_hi,DiscNRX_ungated,DiscNRX_ungated_lo,DiscNRX_ungated_hi,DiscNRX_gated,DiscNRX_gated_lo,DiscNRX_gated_hi,DiscNRX_trig,DiscNRX_trig_lo,DiscNRX_trig_hi
50,0.976,0.943621,1,1,1,1,0.88,0.677491,1,0.88,0.677491,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0.976,0.943621,1,1,1,1,0.824,0.546689,1,0.824,0.546689,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0.972,0.938683,1,1,1,1,0.72,0.342159,1,0.72,0.342159,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.976,0.943621,1,1,1,1,0.636,0.182699,1,0.636,0.182699,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0.972,0.938683,1,1,1,1,0.556,0.0308481,1,0.556,0.0308481,1,1,1,1,1,1,1,1,1,1,1,1,1
100,0.972,0.934338,1,1,1,1,0.532,0,1,0.532,0,1,1,1,1,1,1,1,1,1,1,1,1,1
110,0.98,0.949586,1,1,1,1,0.48,0,1,0.48,0,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0.98,0.936987,1,1,1,1,0.472,0,1,0.472,0,1,1,1,1,1,1,1,1,1,1,1,1,1
130,0.98,0.936987,1,1,1,1,0.464,0,1,0.464,0,1,1,1,1,1,1,1,1,1,1,1,1,1
140,0.988,0.965788,1,1,1,1,0.46,0,1,0.46,0,1,1,1,1,1,1,1,1,1,1,1,1,1
150,0.988,0.965788,1,1,1,1,0.436,0,1,0.436,0,1,1,1,1,1,1,1,1,1,1,1,1,1
160,0.988,0.965788,1,1,1,1,0.444,0,1,0.444,0,1,1,1,1,1,1,1,1,1,1,1,1,1
170,0.988,0.965788,1,1,1,1,0.444,0,1,0.444,0,1,1,1,1,1,1,1,1,1,1,1,1,1
180,0.984,0.963223,1,1,1,1,0.444,0,1,0.444,0,1,1,1,1,1,1,1,1,1,1,1,1,1
190,0.984,0.963223,1,1,1,1,0.444,0,1,0.444,0,1,1,1,1,1,1,1,1,1,1,1,1,1
200,0.976,0.922163,1,1,1,1,0.44,0,1,0.44,0,1,1,1,1,1,1,1,1,1,1,1,1,1
210,0.976,0.922163,1,1,1,1,0.432,0,1,0.432,0,1,1,1,1,1,1,1,1,1,1,1,1,1
220,0.972,0.917593,1,1,1,1,0.436,0,1,0.436,0,1,1,1,1,1,1,1,1,1,1,1,1,1
