step,info_rand,coded_rand,ginfo_rand,gcoded_rand,info_warm,coded_warm,ginfo_warm,gcoded_warm,info_zero,coded_zero,ginfo_zero,gcoded_zero
1,0.493759,0.494221,5.53273,6.93033,0.299168,0.300365,5.16597,6.35015,0.498501,0.33957,0,8.26015
25,0.38263,0.35159,3.35138,4.01859,0.276937,0.25901,3.01891,3.63408,0.498501,0.33957,0,3.98146
50,0.336687,0.291598,2.03913,2.22402,0.273218,0.231935,1.67449,1.89236,0.498501,0.33957,0,2.17116
75,0.316493,0.262952,1.31552,1.41171,0.261376,0.209974,1.13488,1.19734,0.498501,0.302865,0,1.48249
100,0.296738,0.234521,1.02065,1.01183,0.248465,0.190447,0.911218,0.867561,0.498501,0.222391,0,1.1121
125,0.282538,0.207707,1.20998,0.775187,0.231488,0.1608,1.16075,0.663236,0.498501,0.188327,0,0.829502
150,0.277138,0.184028,1.66374,0.61769,0.22585,0.138848,1.68737,0.52942,0.498501,0.169024,0,0.634988
175,0.27627,0.164346,1.62507,0.50569,0.225018,0.123067,1.51525,0.433248,0.498501,0.155217,0,0.506048
200,0.277019,0.148081,1.1895,0.422077,0.226106,0.110654,1.06651,0.360026,0.498501,0.144495,0,0.419388
225,0.27776,0.135152,0.830916,0.357547,0.227019,0.10063,0.747805,0.302347,0.498501,0.135238,0,0.358979
250,0.278244,0.124977,0.608617,0.306822,0.227412,0.0937135,0.538211,0.257038,0.498501,0.125475,0,0.313637
275,0.278637,0.116036,0.464584,0.266331,0.227906,0.0885691,0.419381,0.221909,0.498501,0.115287,0,0.276372
300,0.278947,0.108635,0.370279,0.233529,0.228189,0.0846308,0.334595,0.194431,0.498501,0.105994,0,0.24436
325,0.279158,0.101969,0.306658,0.206575,0.228509,0.0807383,0.275249,0.172335,0.498501,0.0971583,0,0.216942
350,0.279349,0.096642,0.257765,0.184051,0.2286,0.0773986,0.229663,0.154013,0.498501,0.0898757,0,0.193353
375,0.279468,0.0915159,0.220771,0.165363,0.22871,0.0745066,0.196861,0.138639,0.498501,0.083845,0,0.173065
400,0.279614,0.0871619,0.194646,0.149413,0.228801,0.0719938,0.172251,0.125412,0.498501,0.0787509,0,0.155596
425,0.279715,0.08321,0.168862,0.135873,0.22892,0.0699059,0.153288,0.114176,0.498501,0.074566,0,0.140666
450,0.27977,0.0797332,0.150811,0.12423,0.229084,0.0678271,0.136276,0.104442,0.498501,0.0707785,0,0.127683
475,0.279797,0.0766036,0.136677,0.113879,0.229148,0.0660316,0.123132,0.0959656,0.498501,0.0680099,0,0.116389
500,0.279843,0.0739355,0.123849,0.104798,0.229231,0.0642498,0.111482,0.0884822,0.498501,0.0656615,0,0.106617
525,0.279852,0.0713542,0.11166,0.0967649,0.229231,0.0626188,0.100778,0.0817922,0.498501,0.0636513,0,0.0980912
550,0.279852,0.0691658,0.102399,0.0896083,0.229267,0.0612253,0.0927243,0.0757929,0.498501,0.0620157,0,0.090625
575,0.279879,0.0670596,0.0932466,0.0832689,0.229285,0.0601243,0.0858417,0.0704847,0.498501,0.0605309,0,0.0840341
600,0.27987,0.065191,0.0869173,0.0775604,0.229304,0.0589821,0.0796983,0.0656795,0.498501,0.0590872,0,0.0781256
625,0.279889,0.0637244,0.0806891,0.0722721,0.229386,0.057945,0.0734588,0.0612825,0.498501,0.0578308,0,0.0728218
650,0.279916,0.0624452,0.0739638,0.0675799,0.22945,0.0571637,0.0680071,0.0573259,0.498501,0.0569627,0,0.06804
675,0.279943,0.0611385,0.0689698,0.06333,0.229468,0.056483,0.0640506,0.0537708,0.498501,0.0560673,0,0.0637551
700,0.279989,0.0598364,0.0646797,0.0594362,0.229523,0.0557246,0.0593529,0.0505585,0.498501,0.0554048,0,0.0598776
725,0.280026,0.0587217,0.0604809,0.0558641,0.229569,0.0551078,0.0555705,0.0475807,0.498501,0.0547378,0,0.0563598
750,0.280071,0.0578993,0.0567295,0.052603,0.229578,0.0546372,0.0527416,0.0448621,0.498501,0.0542306,0,0.0531693
775,0.280062,0.0571637,0.053877,0.0496851,0.229605,0.054121,0.0492131,0.0423914,0.498501,0.0537692,0,0.0502512
800,0.280062,0.0563459,0.0508138,0.0470044,0.229624,0.0537372,0.0465277,0.0401405,0.498501,0.0534174,0,0.0475787
825,0.280099,0.0556972,0.0479161,0.0444806,0.229633,0.053358,0.0441977,0.0380647,0.498501,0.0529925,0,0.0451247
850,0.280135,0.0552083,0.0455663,0.0421632,0.229651,0.0529788,0.0417267,0.0361475,0.498501,0.052595,0,0.0428515
875,0.280163,0.054788,0.0433296,0.0400625,0.229697,0.052627,0.0397198,0.0343724,0.498501,0.0523209,0,0.0407544
900,0.280163,0.0543677,0.0409997,0.0381722,0.229715,0.0523026,0.0374582,0.0327304,0.498501,0.0520011,0,0.0388145
925,0.28019,0.0539017,0.0399228,0.0363841,0.229706,0.052097,0.0354321,0.03119,0.498501,0.0518366,0,0.0370095
950,0.280208,0.0534996,0.0372387,0.0346897,0.229706,0.0519965,0.0337992,0.0297611,0.498501,0.0515716,0,0.0353308
975,0.280208,0.0531159,0.0352642,0.033104,0.229697,0.0518183,0.0326784,0.0284333,0.498501,0.0513798,0,0.033767
1000,0.280208,0.0528143,0.0347077,0.0316235,0.229697,0.0516265,0.0307925,0.0272051,0.498501,0.0512518,0,0.032307
1025,0.280245,0.0526087,0.0332889,0.0302423,0.229715,0.0514574,0.0298057,0.0260542,0.498501,0.0511376,0,0.0309433
1050,0.280272,0.05233,0.031086,0.0289499,0.229761,0.0513021,0.0285438,0.0249851,0.498501,0.0510371,0,0.0296719
1075,0.280254,0.0521838,0.0296937,0.027742,0.229751,0.0511696,0.0272317,0.0239854,0.498501,0.0508589,0,0.0284762
1100,0.280281,0.0519371,0.0286071,0.0266136,0.229761,0.051028,0.0261117,0.0230292,0.498501,0.0507538,0,0.0273513
1125,0.2803,0.0516859,0.0272757,0.025563,0.229779,0.0509823,0.0257255,0.0221265,0.498501,0.0506899,0,0.0262937
1150,0.2803,0.0515168,0.0263447,0.0245857,0.229788,0.0509046,0.0242575,0.0212758,0.498501,0.0505802,0,0.0252957
1175,0.280318,0.051398,0.0256648,0.0236568,0.229797,0.0508132,0.0233599,0.0204727,0.498501,0.0503883,0,0.0243518
1200,0.280345,0.0512427,0.024532,0.022782,0.229797,0.0507264,0.0224988,0.0197129,0.498501,0.0503335,0,0.0234584
1225,0.280364,0.0510736,0.0234156,0.0219561,0.229815,0.0506853,0.0220933,0.0189959,0.498501,0.0502558,0,0.0226159
1250,0.280373,0.0509412,0.022468,0.0211701,0.229806,0.0506122,0.0209258,0.0183205,0.498501,0.0502056,0,0.021819
1275,0.280382,0.0508772,0.0216815,0.0204217,0.229834,0.0505939,0.0203818,0.0176828,0.498501,0.0501827,0,0.0210626
1300,0.280382,0.0507767,0.0211371,0.019711,0.22987,0.0505163,0.0195915,0.0170808,0.498501,0.0501645,0,0.0203441
1325,0.280391,0.0507127,0.0203284,0.0190353,0.22987,0.0504751,0.0187786,0.0165071,0.498501,0.0500731,0,0.0196607
1350,0.2804,0.0506213,0.0198763,0.0183958,0.22987,0.0503883,0.0180897,0.015957,0.498501,0.0500548,0,0.0190109
1375,0.280409,0.050498,0.0190462,0.0177842,0.229879,0.0503838,0.0174962,0.0154318,0.498501,0.0500457,0,0.0183948
1400,0.280418,0.0503975,0.0183816,0.0172037,0.229889,0.0503518,0.01701,0.0149342,0.498501,0.0499909,0,0.0178105
1425,0.280437,0.0503746,0.0176985,0.0166542,0.229916,0.0502878,0.0165212,0.0144637,0.498501,0.0499635,0,0.0172537
1450,0.280428,0.0503518,0.0171863,0.0161321,0.229925,0.0502467,0.015818,0.014016,0.498501,0.0498995,0,0.0167214
1475,0.280428,0.0503015,0.0166614,0.0156372,0.229925,0.050233,0.0156224,0.0135875,0.498501,0.0498675,0,0.0162106
1500,0.280455,0.0502239,0.0162909,0.0151629,0.229925,0.0502467,0.014951,0.0131792,0.498501,0.0498629,0,0.0157214
