variant,cond,snr_db,n_seeds,bler_mean,ci_lo,ci_hi
full,DS1000,5.0,3,0.00026041666666666666,-0.0008600658150389228,0.001380899148372256
full,DS600,5.0,3,0.0007812500000000002,-0.0011594825873049454,0.0027219825873049455
full,S1,5.0,3,0.0,0.0,0.0
full,S2,5.0,3,0.006510416666666667,-0.004861238540748784,0.01788207187408212
full,V250,5.0,3,0.4018229166666667,0.3636771112680811,0.4399687220652523
no_detach,DS1000,5.0,3,0.05026041666666666,-0.030841154933937708,0.13136198826727102
no_detach,DS600,5.0,3,0.03567708333333333,-0.002468722065252303,0.07382288873191897
no_detach,S1,5.0,3,0.011197916666666667,-0.003876633393532473,0.026272466726865805
no_detach,S2,5.0,3,0.06302083333333335,0.0031300227393979627,0.12291164392726872
no_detach,V250,5.0,3,0.4375,0.39362913996234655,0.48137086003765345
no_freeze,DS1000,5.0,1,0.0,nan,nan
no_freeze,DS600,5.0,1,0.0,nan,nan
no_freeze,S1,5.0,1,0.0,nan,nan
no_freeze,S2,5.0,1,0.00625,nan,nan
no_freeze,V250,5.0,1,0.365625,nan,nan
no_pilot,DS1000,5.0,1,1.0,nan,nan
no_pilot,DS600,5.0,1,1.0,nan,nan
no_pilot,S1,5.0,1,1.0,nan,nan
no_pilot,S2,5.0,1,1.0,nan,nan
no_pilot,V250,5.0,1,1.0,nan,nan
pure_vfe,DS1000,5.0,3,0.9997395833333332,0.9986191008516278,1.0008600658150388
pure_vfe,DS600,5.0,3,0.9421874999999998,0.9085170480338675,0.9758579519661322
pure_vfe,S1,5.0,3,0.0015625000000000003,-0.0017989474451167678,0.004923947445116769
pure_vfe,S2,5.0,3,1.0,1.0,1.0
pure_vfe,V250,5.0,3,0.46380208333333334,0.38989269424533274,0.5377114724213339
