step,DS1000,DS1000_lo,DS1000_hi,DS600,DS600_lo,DS600_hi,S1,S1_lo,S1_hi,S2,S2_lo,S2_hi,V250,V250_lo,V250_hi
12000,0.000347222,0.0005,0.0018412,0.000347222,0.0005,0.0018412,nan,nan,nan,0.00451389,0.0005,0.0196761,0.401736,0.362464,0.441008
25000,0.0868056,0.0005,0.300507,0.0201389,0.0005,0.0670983,nan,nan,nan,0.1625,0.0005,0.538617,0.393056,0.361118,0.424993
50000,0.339931,0.0005,0.88712,0.103819,0.0005,0.268949,nan,nan,nan,0.522917,0.0005,1,0.384028,0.330724,0.437332
