slot,AINR_none,AINR_none_lo,AINR_none_hi,AINR_ungated,AINR_ungated_lo,AINR_ungated_hi,AINR_gated,AINR_gated_lo,AINR_gated_hi,AINR_trig,AINR_trig_lo,AINR_trig_hi,DiscNRX_none,DiscNRX_none_lo,DiscNRX_none_hi,DiscNRX_ungated,DiscNRX_ungated_lo,DiscNRX_ungated_hi,DiscNRX_gated,DiscNRX_gated_lo,DiscNRX_gated_hi,DiscNRX_trig,DiscNRX_trig_lo,DiscNRX_trig_hi
380,0.428,0.0556664,0.800334,0.6,0,1,0,0,0,0,0,0,0.744,0.521607,0.966393,0.8,0.244711,1,0,0,0,0,0,0
390,0.452,0.0759582,0.828042,0.6,0,1,0,0,0,0,0,0,0.752,0.529468,0.974532,0.8,0.244711,1,0,0,0,0,0,0
400,0.468,0.0927791,0.843221,0.6,0,1,0,0,0,0,0,0,0.74,0.519977,0.960023,0.8,0.244711,1,0,0,0,0,0,0
410,0.468,0.0838459,0.852154,0.6,0,1,0,0,0,0,0,0,0.712,0.475366,0.948634,0.8,0.244711,1,0,0,0,0,0,0
420,0.496,0.123749,0.868251,0.6,0,1,0,0,0,0,0,0,0.72,0.481808,0.958192,0.8,0.244711,1,0,0,0,0,0,0
430,0.5,0.145745,0.854255,0.6,0,1,0,0,0,0,0,0,0.74,0.549252,0.930748,0.8,0.244711,1,0,0,0,0,0,0
440,0.504,0.159273,0.848727,0.6,0,1,0,0,0,0,0,0,0.74,0.556671,0.923329,0.8,0.244711,1,0,0,0,0,0,0
450,0.496,0.161257,0.830743,0.604,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.74,0.549252,0.930748,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
460,0.496,0.12666,0.86534,0.604,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.752,0.555205,0.948795,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
470,0.468,0.0673444,0.868656,0.604,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.756,0.557024,0.954976,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
480,0.496,0.0981247,0.893875,0.604,0,1,0.004,0,0.0151058,0.004,0,0.0151058,0.712,0.465162,0.958838,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
490,0.496,0.105951,0.886049,0.604,0,1,0.008,0,0.0216017,0.004,0,0.0151058,0.728,0.505468,0.950532,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
500,0.496,0.107933,0.884067,0.6,0,1,0.004,0,0.0151058,0,0,0,0.728,0.483673,0.972327,0.8,0.244711,1,0,0,0,0,0,0
510,0.512,0.138426,0.885574,0.6,0,1,0.004,0,0.0151058,0,0,0,0.72,0.499277,0.940723,0.8,0.244711,1,0,0,0,0,0,0
520,0.532,0.166773,0.897227,0.6,0,1,0.004,0,0.0151058,0,0,0,0.736,0.522088,0.949912,0.8,0.244711,1,0,0,0,0,0,0
530,0.516,0.178505,0.853495,0.6,0,1,0.004,0,0.0151058,0,0,0,0.764,0.578663,0.949337,0.8,0.244711,1,0,0,0,0,0,0
540,0.516,0.175775,0.856225,0.6,0,1,0,0,0,0,0,0,0.752,0.542309,0.961691,0.8,0.244711,1,0,0,0,0,0,0
550,0.508,0.175475,0.840525,0.6,0,1,0,0,0,0,0,0,0.764,0.568936,0.959064,0.8,0.244711,1,0,0,0,0,0,0
560,0.508,0.182031,0.833969,0.6,0,1,0,0,0,0,0,0,0.784,0.578168,0.989832,0.8,0.244711,1,0,0,0,0,0,0
570,0.52,0.197645,0.842355,0.6,0,1,0,0,0,0,0,0,0.772,0.554372,0.989628,0.8,0.244711,1,0,0,0,0,0,0
580,0.536,0.195775,0.876225,0.6,0,1,0,0,0,0,0,0,0.776,0.550167,1,0.8,0.244711,1,0,0,0,0,0,0
590,0.54,0.204981,0.875019,0.6,0,1,0,0,0,0,0,0,0.772,0.536673,1,0.8,0.244711,1,0,0,0,0,0,0
600,0.548,0.20678,0.88922,0.6,0,1,0,0,0,0,0,0,0.76,0.533758,0.986242,0.8,0.244711,1,0,0,0,0,0,0
610,0.544,0.182678,0.905322,0.6,0,1,0,0,0,0,0,0,0.756,0.520149,0.991851,0.8,0.244711,1,0,0,0,0,0,0
