snr_db,AINR,AINR_lo,AINR_hi,DiscNRX,DiscNRX_lo,DiscNRX_hi,LSLIN,LSLIN_lo,LSLIN_hi,LSLMMSE,LSLMMSE_lo,LSLMMSE_hi,PCSI,PCSI_lo,PCSI_hi
3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,1,1,1,1,1,1,1,1,1,1,1,1,0.999219,0.999219,0.999219
4.1,1,1,1,1,1,1,1,1,1,1,1,1,0.999219,0.999219,0.999219
4.2,1,1,1,1,1,1,1,1,1,1,1,1,0.996094,0.996094,0.996094
4.3,1,1,1,1,1,1,1,1,1,1,1,1,0.978125,0.978125,0.978125
4.4,1,1,1,0.998437,0.998437,0.998437,1,1,1,0.998437,0.998437,0.998437,0.935156,0.935156,0.935156
4.5,0.998437,0.998437,0.998437,0.999219,0.999219,0.999219,1,1,1,0.996094,0.996094,0.996094,0.867188,0.867188,0.867188
4.6,0.992969,0.992969,0.992969,0.989844,0.989844,0.989844,1,1,1,0.988281,0.988281,0.988281,0.746875,0.746875,0.746875
4.7,0.9625,0.9625,0.9625,0.961719,0.961719,0.961719,1,1,1,0.960938,0.960938,0.960938,0.539062,0.539062,0.539062
4.8,0.929688,0.929688,0.929688,0.915625,0.915625,0.915625,1,1,1,0.903906,0.903906,0.903906,0.373437,0.373437,0.373437
4.9,0.853125,0.853125,0.853125,0.822656,0.822656,0.822656,1,1,1,0.849219,0.849219,0.849219,0.211719,0.211719,0.211719
5.0,0.7125,0.7125,0.7125,0.684375,0.684375,0.684375,1,1,1,0.702344,0.702344,0.702344,0.0984375,0.0984375,0.0984375
5.1,0.592969,0.592969,0.592969,0.559375,0.559375,0.559375,1,1,1,0.591406,0.591406,0.591406,0.0289063,0.0289063,0.0289063
5.2,0.390625,0.390625,0.390625,0.347656,0.347656,0.347656,1,1,1,0.440625,0.440625,0.440625,0.025,0.025,0.025
5.3,0.251563,0.251563,0.251563,0.230469,0.230469,0.230469,1,1,1,0.297656,0.297656,0.297656,0.00546875,0.00546875,0.00546875
5.4,0.153125,0.153125,0.153125,0.128906,0.128906,0.128906,1,1,1,0.202344,0.202344,0.202344,0.0015625,0.0015625,0.0015625
5.5,0.0679687,0.0679687,0.0679687,0.065625,0.065625,0.065625,1,1,1,0.132812,0.132812,0.132812,0.00078125,0.00078125,0.00078125
5.6,0.0335937,0.0335937,0.0335937,0.025,0.025,0.025,1,1,1,0.0617188,0.0617188,0.0617188,nan,nan,nan
5.7,0.021875,0.021875,0.021875,0.0132812,0.0132812,0.0132812,1,1,1,0.0289063,0.0289063,0.0289063,nan,nan,nan
5.8,0.00703125,0.00703125,0.00703125,0.0046875,0.0046875,0.0046875,1,1,1,0.021875,0.021875,0.021875,nan,nan,nan
5.9,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,1,1,1,0.00703125,0.00703125,0.00703125,nan,nan,nan
6.0,0.00234375,0.00234375,0.00234375,0.0015625,0.0015625,0.0015625,1,1,1,0.0078125,0.0078125,0.0078125,nan,nan,nan
6.1,0.003125,0.003125,0.003125,0.00078125,0.00078125,0.00078125,1,1,1,0.003125,0.003125,0.003125,nan,nan,nan
6.2,0.003125,0.003125,0.003125,0.0015625,0.0015625,0.0015625,1,1,1,0.0015625,0.0015625,0.0015625,nan,nan,nan
6.3,0.00078125,0.00078125,0.00078125,0.00078125,0.00078125,0.00078125,1,1,1,nan,nan,nan,nan,nan,nan
6.4,nan,nan,nan,nan,nan,nan,1,1,1,nan,nan,nan,nan,nan,nan
6.5,0.0015625,0.0015625,0.0015625,0.00078125,0.00078125,0.00078125,1,1,1,0.00078125,0.00078125,0.00078125,nan,nan,nan
7.0,nan,nan,nan,nan,nan,nan,1,1,1,nan,nan,nan,nan,nan,nan
7.5,nan,nan,nan,nan,nan,nan,0.996875,0.996875,0.996875,nan,nan,nan,nan,nan,nan
7.6,nan,nan,nan,nan,nan,nan,0.996875,0.996875,0.996875,nan,nan,nan,nan,nan,nan
7.7,nan,nan,nan,nan,nan,nan,0.9875,0.9875,0.9875,nan,nan,nan,nan,nan,nan
7.8,nan,nan,nan,nan,nan,nan,0.935156,0.935156,0.935156,nan,nan,nan,nan,nan,nan
7.9,nan,nan,nan,nan,nan,nan,0.855469,0.855469,0.855469,nan,nan,nan,nan,nan,nan
8.0,nan,nan,nan,nan,nan,nan,0.740625,0.740625,0.740625,nan,nan,nan,nan,nan,nan
8.1,nan,nan,nan,nan,nan,nan,0.609375,0.609375,0.609375,nan,nan,nan,nan,nan,nan
8.2,nan,nan,nan,nan,nan,nan,0.447656,0.447656,0.447656,nan,nan,nan,nan,nan,nan
8.3,nan,nan,nan,nan,nan,nan,0.289062,0.289062,0.289062,nan,nan,nan,nan,nan,nan
8.4,nan,nan,nan,nan,nan,nan,0.15,0.15,0.15,nan,nan,nan,nan,nan,nan
8.5,nan,nan,nan,nan,nan,nan,0.0851563,0.0851563,0.0851563,nan,nan,nan,nan,nan,nan
8.6,nan,nan,nan,nan,nan,nan,0.0390625,0.0390625,0.0390625,nan,nan,nan,nan,nan,nan
8.7,nan,nan,nan,nan,nan,nan,0.0148437,0.0148437,0.0148437,nan,nan,nan,nan,nan,nan
8.8,nan,nan,nan,nan,nan,nan,0.0101563,0.0101563,0.0101563,nan,nan,nan,nan,nan,nan
8.9,nan,nan,nan,nan,nan,nan,0.00390625,0.00390625,0.00390625,nan,nan,nan,nan,nan,nan
9.0,nan,nan,nan,nan,nan,nan,0.00078125,0.00078125,0.00078125,nan,nan,nan,nan,nan,nan
9.1,nan,nan,nan,nan,nan,nan,0.00078125,0.00078125,0.00078125,nan,nan,nan,nan,nan,nan
9.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
