step,n_seeds,ce,ce_lo,ce_hi,kl_channel,kl_channel_lo,kl_channel_hi,kl_noise,kl_noise_lo,kl_noise_hi,expected_ll,expected_ll_lo,expected_ll_hi,neg_ell
23000,5,395.355,274.086,594.885,290.19,288.662,291.23,8.69391,8.66631,8.7262,-11815.1,-12047.2,-11645.9,11815.1
23500,5,397.066,287.304,448.896,289.543,287.971,291.261,8.69855,8.67056,8.73558,-11789.3,-11895.1,-11671.4,11789.3
24000,5,513.217,431.134,693.567,289.925,289.569,290.469,8.7051,8.67998,8.74186,-11974.6,-12176.4,-11865.1,11974.6
24500,5,400.36,191.15,646.106,289.119,286.66,290.589,8.70772,8.68481,8.73952,-11851.6,-12103.7,-11628.2,11851.6
25000,5,473.536,418.387,522.07,289.576,288.382,291.433,8.70508,8.67092,8.73684,-11908.1,-11990.1,-11785.7,11908.1
25500,5,466.931,288.75,720.318,289.705,289.002,290.2,8.70253,8.66525,8.73689,-11878.8,-12131.8,-11703.5,11878.8
26000,5,357.891,221.245,451.658,290.349,288.943,292.338,8.70415,8.66431,8.73428,-11781,-11920.9,-11573.5,11781
26500,5,336.031,195.918,698.626,290.134,289.404,290.987,8.70379,8.67195,8.73742,-11768,-12158.4,-11616.5,11768
27000,5,429.883,354.121,505.103,289.727,288.811,290.601,8.70105,8.6766,8.72263,-11858.8,-11929.5,-11761.5,11858.8
27500,5,463.47,312.609,597.611,290.097,288.393,291.539,8.70635,8.68206,8.73317,-11930,-12065.8,-11756.3,11930
28000,5,466.555,360.628,542.594,289.482,288.689,290.148,8.71155,8.68796,8.73463,-11907.6,-11966.6,-11801.6,11907.6
28500,5,371.212,283.641,477.453,290.476,289.487,291.548,8.71571,8.68934,8.73507,-11811.2,-11882.1,-11691.4,11811.2
29000,5,489.487,451.194,546.294,289.685,289.023,290.615,8.7061,8.68833,8.72281,-11962.3,-12103.3,-11901.7,11962.3
29500,5,364.905,282.366,400.507,290.781,289.636,292.234,8.71123,8.68625,8.73192,-11812.8,-11905.4,-11743.5,11812.8
30000,5,384.443,334.738,426.219,289.917,288.881,291.648,8.70713,8.68659,8.73114,-11854.2,-11927.6,-11702.4,11854.2
30500,5,373.687,249.841,632.744,289.98,288.905,291.347,8.70669,8.67813,8.72108,-11788.4,-12047.3,-11651.8,11788.4
31000,5,464.519,322.255,539.21,290.034,289.174,291.874,8.70801,8.68897,8.72482,-11917.8,-11964.3,-11760,11917.8
31500,5,370.762,280.138,515.292,290.132,289.587,290.865,8.70679,8.6931,8.71694,-11788.3,-11921.6,-11642.3,11788.3
32000,5,437.231,392.741,475.544,290.82,289.07,291.787,8.71062,8.69284,8.72409,-11884.8,-11981.6,-11802.5,11884.8
32500,5,448.527,355.282,530.081,289.493,288.6,290.156,8.70791,8.68671,8.72734,-11890.1,-11979.6,-11834,11890.1
33000,5,376.021,273.579,455.532,289.839,289.025,290.526,8.71281,8.6787,8.73138,-11826.7,-11913.6,-11718.3,11826.7
33500,5,467.429,377.689,542.89,289.811,288.153,291.192,8.71159,8.67218,8.73021,-11891.6,-12026.3,-11744.5,11891.6
