qam,receiver,seed,snr_at_bler_0p1
16,AINR,0,0.8708157774214085
16,AINR,1,0.8559342548253537
16,AINR,2,0.8656782082234747
16,AINR,3,0.8746502980016871
16,AINR,4,0.8647379849940564
16,DiscNRX,0,0.8551731939247881
16,DiscNRX,1,0.8561957746675135
16,DiscNRX,2,0.8333899645306805
16,DiscNRX,3,0.8586014123812136
16,DiscNRX,4,0.8452106372017235
16,LS-LIN,-1,4.932751263325672
16,LS-LMMSE,-1,1.102455772153797
16,PCSI,-1,0.5938853580155334
64,AINR,0,5.452460103929816
64,DiscNRX,0,5.4376098985811
64,LS-LIN,-1,8.471618282411246
64,LS-LMMSE,-1,5.537028506122295
64,PCSI,-1,4.997943640913395
