cond,snr_db,receiver,mode,slot,rolling_bler,ci_lo,ci_hi,n_seeds
S2,3.0,AINR,none,50,0.976,0.9436213643058259,1.008378635694174,5
S2,3.0,AINR,none,60,0.976,0.9436213643058259,1.008378635694174,5
S2,3.0,AINR,none,70,0.9719999999999999,0.9386826587376264,1.0053173412623735,5
S2,3.0,AINR,none,80,0.976,0.9436213643058259,1.008378635694174,5
S2,3.0,AINR,none,90,0.9719999999999999,0.9386826587376264,1.0053173412623735,5
S2,3.0,AINR,none,100,0.9719999999999999,0.9343384662330311,1.0096615337669688,5
S2,3.0,AINR,none,110,0.9800000000000001,0.9495855677241674,1.0104144322758328,5
S2,3.0,AINR,none,120,0.9800000000000001,0.9369874973836395,1.0230125026163608,5
S2,3.0,AINR,none,130,0.9800000000000001,0.9369874973836395,1.0230125026163608,5
S2,3.0,AINR,none,140,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,150,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,160,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,170,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,180,0.984,0.9632229873263286,1.0047770126736713,5
S2,3.0,AINR,none,190,0.984,0.9632229873263286,1.0047770126736713,5
S2,3.0,AINR,none,200,0.976,0.9221627319532419,1.029837268046758,5
S2,3.0,AINR,none,210,0.976,0.9221627319532419,1.029837268046758,5
S2,3.0,AINR,none,220,0.9719999999999999,0.9175930095473395,1.0264069904526603,5
S2,3.0,AINR,none,230,0.968,0.8922686743672109,1.043731325632789,5
S2,3.0,AINR,none,240,0.96,0.8875991695691257,1.0324008304308743,5
S2,3.0,AINR,none,250,0.9640000000000001,0.9021656315517036,1.0258343684482967,5
S2,3.0,AINR,none,260,0.96,0.8991711354483346,1.0208288645516654,5
S2,3.0,AINR,none,270,0.9640000000000001,0.9021656315517036,1.0258343684482967,5
S2,3.0,AINR,none,280,0.968,0.9264459746526573,1.0095540253473427,5
S2,3.0,AINR,none,290,0.968,0.9165046146414184,1.0194953853585815,5
S2,3.0,AINR,none,300,0.9719999999999999,0.9304459746526572,1.0135540253473425,5
S2,3.0,AINR,none,310,0.9719999999999999,0.9304459746526572,1.0135540253473425,5
S2,3.0,AINR,none,320,0.9719999999999999,0.9304459746526572,1.0135540253473425,5
S2,3.0,AINR,none,330,0.968,0.9228881066740192,1.0131118933259808,5
S2,3.0,AINR,none,340,0.9719999999999999,0.9343384662330311,1.0096615337669688,5
S2,3.0,AINR,none,350,0.9719999999999999,0.9343384662330311,1.0096615337669688,5
S2,3.0,AINR,none,360,0.968,0.9303384662330312,1.0056615337669688,5
S2,3.0,AINR,none,370,0.968,0.9303384662330312,1.0056615337669688,5
S2,3.0,AINR,none,380,0.9719999999999999,0.9304459746526572,1.0135540253473425,5
S2,3.0,AINR,none,390,0.976,0.9351947571605046,1.0168052428394954,5
S2,3.0,AINR,none,400,0.9800000000000001,0.9448804386765968,1.0151195613234034,5
S2,3.0,AINR,none,410,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,420,0.984,0.9516213643058259,1.016378635694174,5
S2,3.0,AINR,none,430,0.984,0.9632229873263286,1.0047770126736713,5
S2,3.0,AINR,none,440,0.9800000000000001,0.9448804386765968,1.0151195613234034,5
S2,3.0,AINR,none,450,0.9800000000000001,0.9448804386765968,1.0151195613234034,5
S2,3.0,AINR,none,460,0.9800000000000001,0.9448804386765968,1.0151195613234034,5
S2,3.0,AINR,none,470,0.984,0.9567965047736697,1.0112034952263302,5
S2,3.0,AINR,none,480,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,490,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,500,0.9800000000000001,0.9369874973836395,1.0230125026163608,5
S2,3.0,AINR,none,510,0.976,0.9221627319532419,1.029837268046758,5
S2,3.0,AINR,none,520,0.968,0.9165046146414184,1.0194953853585815,5
S2,3.0,AINR,none,530,0.968,0.9165046146414184,1.0194953853585815,5
S2,3.0,AINR,none,540,0.976,0.9351947571605047,1.0168052428394954,5
S2,3.0,AINR,none,550,0.9719999999999999,0.9386826587376264,1.0053173412623735,5
S2,3.0,AINR,none,560,0.968,0.9303384662330312,1.0056615337669688,5
S2,3.0,AINR,none,570,0.976,0.9436213643058259,1.008378635694174,5
S2,3.0,AINR,none,580,0.968,0.9303384662330312,1.0056615337669688,5
S2,3.0,AINR,none,590,0.968,0.9303384662330312,1.0056615337669688,5
S2,3.0,AINR,none,600,0.976,0.9487965047736697,1.0032034952263302,5
S2,3.0,AINR,none,610,0.968,0.9264459746526573,1.0095540253473427,5
S2,3.0,AINR,none,620,0.968,0.9165046146414184,1.0194953853585815,5
S2,3.0,AINR,none,630,0.9719999999999999,0.9205046146414183,1.0234953853585813,5
