qam,receiver,snr_db,n_seeds,bler_mean,ci_lo,ci_hi,pooled_errors,pooled_blocks,cp_lo,cp_hi
16,AINR,-1.0,5,1.0,1.0,1.0,6400,6400,0.9994237786646104,1.0
16,AINR,-0.5,5,1.0,1.0,1.0,6400,6400,0.9994237786646104,1.0
16,AINR,0.0,5,0.99640625,0.9931453810824437,0.9996671189175564,6377,6400,0.994612461168671,0.9977205484267521
16,AINR,0.1,5,0.9824999999999999,0.9808767958848693,0.9841232041151305,6288,6400,0.978980518783071,0.9855692966513399
16,AINR,0.2,5,0.94140625,0.9331465718898153,0.9496659281101847,6025,6400,0.935370013457512,0.9470362006860337
16,AINR,0.3,5,0.8785937500000001,0.8615059950558613,0.8956815049441388,5623,6400,0.8703411790580269,0.8864995588684258
16,AINR,0.4,5,0.76390625,0.7555784964683687,0.7722340035316313,4889,6400,0.753304735308003,0.7742667544082523
16,AINR,0.5,5,0.59546875,0.5531274287644035,0.6378100712355965,3811,6400,0.5833249464770335,0.6075254824191443
16,AINR,0.6,5,0.43328125,0.4055744755139932,0.4609880244860068,2773,6400,0.4210956282455184,0.44552771684638537
16,AINR,0.7,5,0.2740625,0.25960257146108434,0.28852242853891563,1754,6400,0.26316151726547815,0.28516972167626037
16,AINR,0.8,5,0.16062500000000002,0.1444423097095056,0.17680769029049442,1028,6400,0.1517071753578847,0.1698532305752773
16,AINR,0.9,5,0.07875000000000001,0.07263791517637687,0.08486208482362316,504,6400,0.07226604715482045,0.0856208205876239
16,AINR,1.0,5,0.040156250000000004,0.03246894802947593,0.047843551970524076,257,6400,0.03547885861575678,0.04525834222956717
16,AINR,1.1,5,0.01640625,0.011459946127994822,0.02135255387200518,105,6400,0.01343778209690569,0.019826363440053542
16,AINR,1.2,5,0.0053124999999999995,0.003100445660965199,0.0075245543390347995,34,6400,0.00368178312150549,0.007415845477462585
16,AINR,1.3,5,0.0034374999999999996,0.0023314728304825996,0.0045435271695174,22,6400,0.0021554784086306933,0.0051998174127679455
16,AINR,1.4,5,0.0009375000000000002,-0.00032729045680367414,0.0022022904568036747,6,6400,0.000344121215414376,0.0020394175878437892
16,AINR,1.5,5,0.000625,-0.0001866020575652873,0.0014366020575652873,4,6400,0.00017031688364729677,0.0015994680556412216
16,AINR,1.6,5,0.0004687500000000001,-0.0003988890953743104,0.0013363890953743106,3,6400,9.667795315697221e-05,0.0013692693112892498
16,AINR,1.7,5,0.0003125,-0.00021881826613926223,0.0008438182661392622,2,6400,3.784744055213186e-05,0.0011283967664555666
16,AINR,1.8,5,0.00015625,-0.00027756954768715515,0.0005900695476871552,1,6400,3.955899672953546e-06,0.0008702584112745185
16,AINR,1.9,5,0.00015625,-0.00027756954768715515,0.0005900695476871552,1,6400,3.955899672953546e-06,0.0008702584112745185
16,AINR,2.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,2.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,3.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,3.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.1,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.2,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.3,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.4,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.6,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.7,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.8,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,4.9,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.1,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.2,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.3,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.4,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.6,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.7,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.8,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,5.9,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,AINR,6.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,-1.0,5,1.0,1.0,1.0,6400,6400,0.9994237786646104,1.0
16,DiscNRX,-0.5,5,1.0,1.0,1.0,6400,6400,0.9994237786646104,1.0
16,DiscNRX,0.0,5,0.9946875000000001,0.9930935452015822,0.9962814547984179,6366,6400,0.9925841545225375,0.9963182168784945
16,DiscNRX,0.1,5,0.9815624999999999,0.9778942228707719,0.9852307771292279,6282,6400,0.9779604190244816,0.9847156157552233
16,DiscNRX,0.2,5,0.93578125,0.9291521806920499,0.9424103193079502,5989,6400,0.9294960911034001,0.9416655935383129
16,DiscNRX,0.3,5,0.8634375000000001,0.8469409448342803,0.8799340551657199,5526,6400,0.8547809335019337,0.8717613922333574
16,DiscNRX,0.4,5,0.74375,0.7269622484699904,0.7605377515300097,4760,6400,0.7328667630234578,0.7544106934990917
16,DiscNRX,0.5,5,0.56546875,0.5411458222617511,0.5897916777382488,3619,6400,0.5532187708137513,0.577659024218016
16,DiscNRX,0.6,5,0.40437500000000004,0.3937796735740022,0.4149703264259979,2588,6400,0.39231908381282626,0.4165181298427674
16,DiscNRX,0.7,5,0.25140625,0.24484853981352261,0.2579639601864774,1609,6400,0.24081487310448021,0.2622246063592779
16,DiscNRX,0.8,5,0.14578125,0.1275608289971395,0.1640016710028605,933,6400,0.13722041034768337,0.15466622032155622
16,DiscNRX,0.9,5,0.06890625000000002,0.061348570601766024,0.07646392939823402,441,6400,0.06282005246846242,0.07538873818217913
16,DiscNRX,1.0,5,0.03375,0.025709695659696077,0.041790304340303924,216,6400,0.029461204588842205,0.03847018879493083
16,DiscNRX,1.1,5,0.014687500000000001,0.010606366959279485,0.018768633040720517,94,6400,0.011884868424823768,0.017944173599608444
16,DiscNRX,1.2,5,0.005156249999999999,0.0023615630590077263,0.007950936940992272,33,6400,0.003551904410614719,0.007233738861466226
16,DiscNRX,1.3,5,0.0023437499999999995,0.0008099662800956581,0.003877533719904341,15,6400,0.0013123539792161214,0.0038627174933018385
16,DiscNRX,1.4,5,0.000625,0.00019118045231284483,0.001058819547687155,4,6400,0.00017031688364729677,0.0015994680556412216
16,DiscNRX,1.5,5,0.000625,-0.0006397904568036743,0.0018897904568036744,4,6400,0.00017031688364729677,0.0015994680556412216
16,DiscNRX,1.6,5,0.00015625,-0.00027756954768715515,0.0005900695476871552,1,6400,3.955899672953546e-06,0.0008702584112745185
16,DiscNRX,1.7,5,0.00015625,-0.00027756954768715515,0.0005900695476871552,1,6400,3.955899672953546e-06,0.0008702584112745185
16,DiscNRX,1.8,5,0.00015625,-0.00027756954768715515,0.0005900695476871552,1,6400,3.955899672953546e-06,0.0008702584112745185
16,DiscNRX,1.9,5,0.00015625,-0.00027756954768715515,0.0005900695476871552,1,6400,3.955899672953546e-06,0.0008702584112745185
16,DiscNRX,2.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,2.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,3.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,3.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.1,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.2,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.3,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.4,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.6,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.7,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.8,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,4.9,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.0,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.1,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.2,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.3,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.4,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.5,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.6,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
16,DiscNRX,5.7,5,0.0,0.0,0.0,0,6400,0.0,0.0005762213353895955
