step,info_rand,coded_rand,ginfo_rand,gcoded_rand,info_warm,coded_warm,ginfo_warm,gcoded_warm,info_zero,coded_zero,ginfo_zero,gcoded_zero
775,0.203733,0.00180122,0.0737254,0.0660801,0.160634,0.00171441,0.068671,0.0570737,0.501042,0.00195312,0,0.0693277
800,0.203776,0.00180122,0.0697324,0.0626617,0.160634,0.00171441,0.0643364,0.0541588,0.501042,0.00193142,0,0.0658001
825,0.203819,0.00173611,0.0660271,0.0595144,0.160634,0.00171441,0.0623015,0.0514702,0.501042,0.00188802,0,0.0625452
850,0.203863,0.00173611,0.0666403,0.056609,0.160677,0.00169271,0.0588938,0.0489855,0.501042,0.00182292,0,0.0595357
875,0.203906,0.00173611,0.0602587,0.0539205,0.160764,0.00169271,0.0549209,0.0466841,0.501042,0.00182292,0,0.0567449
900,0.20395,0.00171441,0.0574053,0.051427,0.160764,0.00171441,0.0518951,0.044548,0.501042,0.00180122,0,0.0541521
925,0.203993,0.00173611,0.0555007,0.0491096,0.160764,0.00167101,0.0497078,0.0425608,0.501042,0.00180122,0,0.0517385
950,0.20408,0.00173611,0.05246,0.0469512,0.160807,0.00164931,0.047743,0.0407078,0.501042,0.00180122,0,0.0494873
975,0.20408,0.00173611,0.049621,0.044937,0.160807,0.00164931,0.045107,0.0389757,0.501042,0.00177951,0,0.0473841
1000,0.204167,0.00173611,0.0478762,0.0430539,0.160851,0.00167101,0.0451553,0.0373536,0.501042,0.00177951,0,0.0454163
1025,0.20421,0.00171441,0.0453855,0.04129,0.160851,0.00167101,0.0414126,0.0358323,0.501042,0.00177951,0,0.0435705
1050,0.204167,0.00171441,0.0431134,0.0396351,0.160851,0.00164931,0.0407948,0.0344035,0.501042,0.00177951,0,0.0418382
1075,0.204123,0.00171441,0.041136,0.0380798,0.160851,0.00164931,0.0382774,0.0330603,0.501042,0.00180122,0,0.0402079
1100,0.204123,0.00169271,0.0393611,0.0366158,0.160894,0.00167101,0.0369775,0.0317957,0.501042,0.00180122,0,0.0386732
1125,0.204123,0.00169271,0.0377438,0.0352357,0.160981,0.00167101,0.0371795,0.0306033,0.501042,0.00180122,0,0.0372246
1150,0.204123,0.00167101,0.0367955,0.0339328,0.161068,0.00167101,0.0348056,0.0294774,0.501042,0.00180122,0,0.0358573
1175,0.204167,0.00164931,0.0353066,0.0327011,0.161068,0.00167101,0.0327414,0.0284129,0.501042,0.00180122,0,0.0345641
1200,0.20421,0.00164931,0.0338603,0.0315356,0.161111,0.00167101,0.0314108,0.0274061,0.501042,0.00180122,0,0.0333397
1225,0.20421,0.00164931,0.0328717,0.0304313,0.161111,0.00167101,0.0301212,0.026452,0.501042,0.00180122,0,0.0321796
1250,0.204253,0.00164931,0.0316413,0.0293843,0.161111,0.00167101,0.0289619,0.0255472,0.501042,0.00177951,0,0.0310802
1275,0.204297,0.00164931,0.0309402,0.0283905,0.161111,0.00167101,0.0278883,0.0246879,0.501042,0.00175781,0,0.0300352
1300,0.204297,0.00164931,0.0291937,0.0274463,0.161111,0.00164931,0.026883,0.0238713,0.501042,0.00175781,0,0.0290417
1325,0.204297,0.00164931,0.0281547,0.0265483,0.161111,0.00164931,0.0259377,0.0230945,0.501042,0.00175781,0,0.0280965
1350,0.204297,0.00164931,0.0273771,0.0256934,0.161111,0.00164931,0.0250472,0.0223547,0.501042,0.00175781,0,0.0271962
1375,0.20434,0.00164931,0.0271796,0.0248789,0.161111,0.00164931,0.0242094,0.0216494,0.501042,0.00175781,0,0.0263391
1400,0.204384,0.00164931,0.0260533,0.0241021,0.161111,0.00164931,0.0234281,0.0209768,0.501042,0.00175781,0,0.0255204
1425,0.204384,0.00164931,0.0249167,0.0233608,0.161111,0.0016276,0.022869,0.0203349,0.501042,0.00175781,0,0.0247387
1450,0.20434,0.00164931,0.0277236,0.0226526,0.161155,0.0016276,0.0221954,0.0197212,0.501042,0.00177951,0,0.0239919
1475,0.20447,0.00164931,0.0238356,0.0219755,0.161198,0.0016276,0.0213649,0.0191345,0.501042,0.00177951,0,0.0232776
1500,0.20447,0.00164931,0.0226228,0.0213278,0.161198,0.0016276,0.0206621,0.0185731,0.501042,0.00177951,0,0.0225942
