step,info_rand,coded_rand,ginfo_rand,gcoded_rand,info_warm,coded_warm,ginfo_warm,gcoded_warm,info_zero,coded_zero,ginfo_zero,gcoded_zero
1,0.494444,0.488997,7.82628,9.92086,0.300825,0.302452,7.33139,9.11347,0.501042,0.252083,0,12.0188
25,0.325825,0.274523,4.95106,6.01476,0.189844,0.145464,4.36929,5.33297,0.501042,0.252083,0,5.8342
50,0.262413,0.192253,2.97627,3.25148,0.190234,0.119141,2.55181,2.91287,0.501042,0.252083,0,2.95254
75,0.242491,0.159635,1.93724,2.08536,0.174913,0.0906684,1.69187,1.77943,0.501042,0.239475,0,2.25505
100,0.221181,0.126758,1.55881,1.56633,0.165538,0.08125,1.48409,1.25742,0.501042,0.136936,0,1.96744
125,0.20625,0.0964627,1.76692,1.25631,0.157422,0.0639757,2.00163,0.998035,0.501042,0.0609592,0,1.54544
150,0.19987,0.0707031,2.22983,1.0321,0.154253,0.0451172,2.27212,0.832061,0.501042,0.0311849,0,1.14585
175,0.198307,0.0491536,2.12838,0.853197,0.153906,0.0300781,1.84268,0.695641,0.501042,0.0182726,0,0.863644
200,0.199002,0.032487,1.5729,0.703296,0.155208,0.0188802,1.32183,0.571301,0.501042,0.011849,0,0.675005
225,0.199783,0.0218099,1.09175,0.578532,0.156033,0.0124783,0.969357,0.466389,0.501042,0.00852865,0,0.545202
250,0.200391,0.0146918,0.834605,0.479899,0.157292,0.00891927,0.72557,0.385818,0.501042,0.00653212,0,0.452221
275,0.201215,0.0101563,0.660065,0.40223,0.157726,0.00661892,0.55738,0.325088,0.501042,0.00538194,0,0.383107
300,0.201606,0.0078125,0.518366,0.341687,0.15803,0.00509983,0.44562,0.278449,0.501042,0.00451389,0,0.330088
325,0.201823,0.00559896,0.427983,0.294479,0.15855,0.00425347,0.372659,0.242006,0.501042,0.00386285,0,0.288341
350,0.202214,0.00451389,0.36431,0.256794,0.158898,0.00360243,0.314889,0.213013,0.501042,0.00347222,0,0.254737
375,0.202474,0.00390625,0.308756,0.226573,0.159201,0.0031684,0.279865,0.189429,0.501042,0.0031684,0,0.227189
400,0.202648,0.00342882,0.263577,0.201958,0.159332,0.00277778,0.238529,0.169896,0.501042,0.00284288,0,0.204257
425,0.202865,0.0031901,0.232433,0.181619,0.159462,0.00256076,0.212336,0.153501,0.501042,0.00269097,0,0.184911
450,0.202995,0.00297309,0.209388,0.164549,0.159635,0.00230035,0.190798,0.139569,0.501042,0.00245226,0,0.168399
475,0.203082,0.00273437,0.186848,0.150027,0.159983,0.00214844,0.171644,0.12759,0.501042,0.00232205,0,0.154162
500,0.203125,0.00251736,0.169945,0.137506,0.160156,0.00214844,0.155826,0.117208,0.501042,0.00223524,0,0.141783
525,0.203299,0.00240885,0.156954,0.126625,0.160113,0.00203993,0.138942,0.108148,0.501042,0.00214844,0,0.130942
550,0.203472,0.00236545,0.14237,0.117097,0.160069,0.00199653,0.128419,0.100181,0.501042,0.00212674,0,0.121384
575,0.203516,0.00225694,0.13344,0.108698,0.1602,0.00195313,0.119025,0.0931306,0.501042,0.00206163,0,0.112907
600,0.203559,0.00221354,0.122159,0.101246,0.1602,0.00197483,0.109203,0.086854,0.501042,0.00206163,0,0.105344
625,0.203602,0.00210503,0.112953,0.0945918,0.16033,0.00190972,0.104652,0.0812346,0.501042,0.00208333,0,0.0985636
650,0.203646,0.00201823,0.102509,0.0886162,0.160373,0.00190972,0.0984846,0.0761788,0.501042,0.00210503,0,0.0924567
675,0.203646,0.00195313,0.09769,0.0832197,0.16046,0.00186632,0.0900165,0.0716118,0.501042,0.00201823,0,0.0869334
700,0.203689,0.00193142,0.0892191,0.0783243,0.160503,0.00180122,0.0828865,0.067469,0.501042,0.00199653,0,0.0819169
725,0.203689,0.00188802,0.0838341,0.0738693,0.160634,0.00175781,0.0784606,0.0636946,0.501042,0.00197483,0,0.0773442
750,0.203733,0.00184462,0.0784204,0.069803,0.160634,0.00169271,0.0723292,0.0602418,0.501042,0.00195312,0,0.0731628
