snr_db,severity,bler_AINR,bler_AINR_lo,bler_AINR_hi,bler_DiscNRX,bler_DiscNRX_lo,bler_DiscNRX_hi,bler_LSLIN,bler_LSLIN_lo,bler_LSLIN_hi,bler_LSLMMSE,bler_LSLMMSE_lo,bler_LSLMMSE_hi,bler_PCSI,bler_PCSI_lo,bler_PCSI_hi,z_resid,z_resid_lo,z_resid_hi,auc_resid,auc_resid_lo,auc_resid_hi,z_tdisp,z_tdisp_lo,z_tdisp_hi,auc_tdisp,auc_tdisp_lo,auc_tdisp_hi,z_conf_a,z_conf_a_lo,z_conf_a_hi,auc_conf_a,auc_conf_a_lo,auc_conf_a_hi,z_conf_d,z_conf_d_lo,z_conf_d_hi,auc_conf_d,auc_conf_d_lo,auc_conf_d_hi,z_comb,z_comb_lo,z_comb_hi,auc_comb,auc_comb_lo,auc_comb_hi,n_seeds
5,3,0,0,0,0,0,0,0.06125,0.0549534,0.0675466,0,0,0,0,0,0,-0.225111,-0.36228,-0.0879417,0.5,0.5,0.5,-0.184002,-0.35816,-0.00984509,0.5,0.5,0.5,-0.0737328,-0.274407,0.126942,0.5,0.5,0.5,-0.0672393,-0.233219,0.0987408,0.5,0.5,0.5,0.338996,0.202963,0.475028,0.5,0.5,0.5,5
5,30,0,0,0,0,0,0,0.0570833,0.0478285,0.0663382,0,0,0,0,0,0,-0.228397,-0.370436,-0.0863573,0.502098,0.484425,0.519771,-0.059602,-0.233912,0.114708,0.529585,0.512815,0.546356,0.0595557,-0.129211,0.248323,0.534789,0.524433,0.545145,0.0686703,-0.0759193,0.21326,0.538176,0.528514,0.547838,0.41404,0.263683,0.564397,0.518448,0.504775,0.532121,5
5,90,0,0,0,0,0,0,0.06625,0.0534264,0.0790736,0,0,0,0,0,0,-0.0667423,-0.192007,0.0585221,0.5537,0.537985,0.569415,0.463842,0.369762,0.557923,0.654721,0.638847,0.670595,0.82952,0.645173,1.01387,0.707637,0.688276,0.726997,0.875344,0.653187,1.0975,0.716117,0.703926,0.728307,0.850719,0.701937,0.999501,0.631819,0.615946,0.647692,5
5,150,0.136667,0.128831,0.144502,0.138333,0.135384,0.141283,0.08125,0.0681234,0.0943766,0.167083,0.159131,0.175035,0,0,0,0.230746,0.0690274,0.392465,0.629879,0.609383,0.650374,1.86862,1.67325,2.06398,0.794422,0.780824,0.80802,1.70047,1.57634,1.82459,0.811974,0.798342,0.825607,1.80142,1.57584,2.027,0.818503,0.805763,0.831244,2.09947,1.95585,2.24309,0.772304,0.757486,0.787123,5
5,250,0.371042,0.356454,0.385629,0.3725,0.354379,0.390621,0.235208,0.221266,0.249151,0.401458,0.38488,0.418037,0,0,0,0.855584,0.572907,1.13826,0.74334,0.733301,0.75338,5.949,5.08406,6.81395,0.886902,0.880324,0.89348,3.11299,2.87119,3.35478,0.892717,0.881589,0.903845,3.30262,2.99738,3.60786,0.896063,0.888185,0.903941,5.98495,5.13155,6.83834,0.873498,0.870234,0.876761,5
5,400,0.569792,0.54724,0.592343,0.569375,0.545533,0.593217,0.509167,0.487381,0.530952,0.59125,0.567851,0.614649,0,0,0,2.02618,1.66635,2.386,0.841635,0.817662,0.865609,18.1763,15.6345,20.7181,0.951947,0.948413,0.955481,5.85938,5.37046,6.34829,0.946796,0.940883,0.952709,6.44645,5.65992,7.23297,0.949637,0.947021,0.952252,18.2565,15.8911,20.6218,0.943711,0.94124,0.946182,5
