config,init,seed,step,coded_ber,info_ber,grad_coded,grad_info
16QAM-K1824,zero,0,1,0.25068530440330505,0.5092516541481018,12.01590347290039,0.0
16QAM-K1824,zero,0,25,0.25068530440330505,0.5092516541481018,5.833016395568848,0.0
16QAM-K1824,zero,0,50,0.25068530440330505,0.5092516541481018,2.9496073722839355,0.0
16QAM-K1824,zero,0,75,0.23920641839504242,0.5092516541481018,2.251854658126831,0.0
16QAM-K1824,zero,0,100,0.13551945984363556,0.5092516541481018,1.9670301675796509,0.0
16QAM-K1824,zero,0,125,0.06095806136727333,0.5092516541481018,1.5451829433441162,0.0
16QAM-K1824,zero,0,150,0.029742324724793434,0.5092516541481018,1.1460456848144531,0.0
16QAM-K1824,zero,0,175,0.01720120571553707,0.5092516541481018,0.8633409738540649,0.0
16QAM-K1824,zero,0,200,0.011067708022892475,0.5092516541481018,0.6737865209579468,0.0
16QAM-K1824,zero,0,225,0.007846765220165253,0.5092516541481018,0.5436275005340576,0.0
16QAM-K1824,zero,0,250,0.006167763378471136,0.5092516541481018,0.4506222903728485,0.0
16QAM-K1824,zero,0,275,0.005276863928884268,0.5092516541481018,0.3816819489002228,0.0
16QAM-K1824,zero,0,300,0.004523026291280985,0.5092516541481018,0.32890763878822327,0.0
16QAM-K1824,zero,0,325,0.004180372692644596,0.5092516541481018,0.28739434480667114,0.0
16QAM-K1824,zero,0,350,0.0038034538738429546,0.5092516541481018,0.2539907395839691,0.0
16QAM-K1824,zero,0,375,0.0033237391617149115,0.5092516541481018,0.22659574449062347,0.0
16QAM-K1824,zero,0,400,0.0031866775825619698,0.5092516541481018,0.20377303659915924,0.0
16QAM-K1824,zero,0,425,0.0030496162362396717,0.5092516541481018,0.1845167875289917,0.0
16QAM-K1824,zero,0,450,0.0028782894369214773,0.5092516541481018,0.16809020936489105,0.0
16QAM-K1824,zero,0,475,0.0027412280905991793,0.5092516541481018,0.15393505990505219,0.0
16QAM-K1824,zero,0,500,0.002432839944958687,0.5092516541481018,0.14162439107894897,0.0
16QAM-K1824,zero,0,525,0.0023300438188016415,0.5092516541481018,0.13083162903785706,0.0
16QAM-K1824,zero,0,550,0.0022957785986363888,0.5092516541481018,0.12130666524171829,0.0
16QAM-K1824,zero,0,575,0.0022272479254752398,0.5092516541481018,0.11285234987735748,0.0
16QAM-K1824,zero,0,600,0.0021244517993181944,0.5092516541481018,0.10530854761600494,0.0
16QAM-K1824,zero,0,625,0.001953125,0.5092516541481018,0.09854284673929214,0.0
16QAM-K1824,zero,0,650,0.001953125,0.5092516541481018,0.09244474023580551,0.0
16QAM-K1824,zero,0,675,0.0018503289902582765,0.5092516541481018,0.08692499995231628,0.0
16QAM-K1824,zero,0,700,0.001747532864101231,0.5092516541481018,0.08190830796957016,0.0
16QAM-K1824,zero,0,725,0.0017132675275206566,0.5092516541481018,0.0773322656750679,0.0
16QAM-K1824,zero,0,750,0.001747532864101231,0.5092516541481018,0.07314520329236984,0.0
16QAM-K1824,zero,0,775,0.001747532864101231,0.5092516541481018,0.0693037360906601,0.0
16QAM-K1824,zero,0,800,0.001747532864101231,0.5092516541481018,0.06577064096927643,0.0
16QAM-K1824,zero,0,825,0.001747532864101231,0.5092516541481018,0.06251207739114761,0.0
16QAM-K1824,zero,0,850,0.0017132675275206566,0.5092516541481018,0.059501029551029205,0.0
16QAM-K1824,zero,0,875,0.001747532864101231,0.5092516541481018,0.05671028420329094,0.0
16QAM-K1824,zero,0,900,0.001747532864101231,0.5092516541481018,0.054118432104587555,0.0
16QAM-K1824,zero,0,925,0.001747532864101231,0.5092516541481018,0.05170602723956108,0.0
16QAM-K1824,zero,0,950,0.001747532864101231,0.5092516541481018,0.049455754458904266,0.0
16QAM-K1824,zero,0,975,0.001747532864101231,0.5092516541481018,0.04735298454761505,0.0
16QAM-K1824,zero,0,1000,0.001747532864101231,0.5092516541481018,0.045385267585515976,0.0
16QAM-K1824,zero,0,1025,0.001747532864101231,0.5092516541481018,0.04353952780365944,0.0
16QAM-K1824,zero,0,1050,0.001747532864101231,0.5092516541481018,0.04180743172764778,0.0
16QAM-K1824,zero,0,1075,0.001747532864101231,0.5092516541481018,0.040177762508392334,0.0
16QAM-K1824,zero,0,1100,0.001747532864101231,0.5092516541481018,0.038644298911094666,0.0
16QAM-K1824,zero,0,1125,0.001747532864101231,0.5092516541481018,0.03719736263155937,0.0
16QAM-K1824,zero,0,1150,0.0017132675275206566,0.5092516541481018,0.03583202883601189,0.0
16QAM-K1824,zero,0,1175,0.0017132675275206566,0.5092516541481018,0.03454074263572693,0.0
16QAM-K1824,zero,0,1200,0.0017132675275206566,0.5092516541481018,0.03331814706325531,0.0
16QAM-K1824,zero,0,1225,0.0017132675275206566,0.5092516541481018,0.032159656286239624,0.0
16QAM-K1824,zero,0,1250,0.0017132675275206566,0.5092516541481018,0.031061654910445213,0.0
16QAM-K1824,zero,0,1275,0.0017817982006818056,0.5092516541481018,0.030017945915460587,0.0
16QAM-K1824,zero,0,1300,0.0017817982006818056,0.5092516541481018,0.02902560494840145,0.0
16QAM-K1824,zero,0,1325,0.0017817982006818056,0.5092516541481018,0.028081370517611504,0.0
16QAM-K1824,zero,0,1350,0.0017817982006818056,0.5092516541481018,0.027181919664144516,0.0
16QAM-K1824,zero,0,1375,0.0017817982006818056,0.5092516541481018,0.026325581595301628,0.0
16QAM-K1824,zero,0,1400,0.0017817982006818056,0.5092516541481018,0.025507625192403793,0.0
16QAM-K1824,zero,0,1425,0.0017817982006818056,0.5092516541481018,0.02472669817507267,0.0
16QAM-K1824,zero,0,1450,0.0017817982006818056,0.5092516541481018,0.023980531841516495,0.0
