seed,receiver,snr_db,block_errors,n_blocks,bler
0,AINR,0,500,500,1.0
0,DiscNRX,0,500,500,1.0
0,AINR,5,57,500,0.114
0,DiscNRX,5,67,500,0.134
0,AINR,10,38,500,0.076
0,DiscNRX,10,48,500,0.096
0,AINR,15,25,500,0.05
0,DiscNRX,15,36,500,0.072
0,AINR,20,23,500,0.046
0,DiscNRX,20,35,500,0.07
0,AINR,25,22,500,0.044
0,DiscNRX,25,35,500,0.07
