seed,receiver,snr_db,block_errors,n_blocks,bler
4,AINR,0,500,500,1.0
4,DiscNRX,0,500,500,1.0
4,AINR,5,63,500,0.126
4,DiscNRX,5,61,500,0.122
4,AINR,10,38,500,0.076
4,DiscNRX,10,45,500,0.09
4,AINR,15,25,500,0.05
4,DiscNRX,15,39,500,0.078
4,AINR,20,22,500,0.044
4,DiscNRX,20,31,500,0.062
4,AINR,25,20,500,0.04
4,DiscNRX,25,32,500,0.064
