seed,cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,resid,tdisp,conf_a,conf_d,cf,ct,ymag,crc_a,crc_d,err_AINR,err_DiscNRX,err_LS-LIN,err_LS-LMMSE,err_PCSI
2,S1,C,100.0,3.0,5.0,val,0,0,0.478691428899765,0.00226878235116601,0.9007022380828857,0.9095970392227173,0.612004280090332,0.7565696239471436,0.9809067845344543,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,1,0.4285224378108978,0.0026234264951199293,0.9090588092803955,0.9124978184700012,0.5709637403488159,0.7467002868652344,0.9674707055091858,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,2,0.470920592546463,0.003078182926401496,0.903067409992218,0.9029723405838013,0.6405200958251953,0.7530407905578613,0.9939692616462708,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,3,0.45108646154403687,0.00206153467297554,0.9040193557739258,0.9066566824913025,0.6172126531600952,0.7498088479042053,0.9986407160758972,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,4,0.6306613683700562,0.005389128811657429,0.8849850296974182,0.9087487459182739,0.5060758590698242,0.757013738155365,0.9545464515686035,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,5,0.43060383200645447,0.0021448726765811443,0.918242871761322,0.9078403115272522,0.5250649452209473,0.7805121541023254,0.9699175953865051,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,6,0.5108681917190552,0.0011065677972510457,0.8997431993484497,0.9114441275596619,0.7059147953987122,0.7525199055671692,1.0346542596817017,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,7,0.5835493206977844,0.0018012392101809382,0.900017261505127,0.890729546546936,0.6469002962112427,0.7275746464729309,1.0219792127609253,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,8,0.4545639157295227,0.001924300566315651,0.9045242667198181,0.9067162275314331,0.7010924816131592,0.7507801651954651,1.033007264137268,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,S1,C,100.0,3.0,5.0,val,0,9,0.422354519367218,0.0028410213999450207,0.9054694175720215,0.9124801158905029,0.4844748377799988,0.7675338983535767,0.9207653999328613,1.0,1.0,0.0,0.0,0.0,0.0,0.0
