seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
2,AINR,S1,16,-1.0,1280,1280,1.0
2,DiscNRX,S1,16,-1.0,1280,1280,1.0
2,AINR,S1,16,-0.5,1280,1280,1.0
2,DiscNRX,S1,16,-0.5,1280,1280,1.0
2,AINR,S1,16,0.0,1277,1280,0.99765625
2,DiscNRX,S1,16,0.0,1275,1280,0.99609375
2,AINR,S1,16,0.1,1259,1280,0.98359375
2,DiscNRX,S1,16,0.1,1260,1280,0.984375
2,AINR,S1,16,0.2,1200,1280,0.9375
2,DiscNRX,S1,16,0.2,1197,1280,0.93515625
2,AINR,S1,16,0.3,1125,1280,0.87890625
2,DiscNRX,S1,16,0.3,1086,1280,0.8484375
2,AINR,S1,16,0.4,965,1280,0.75390625
2,DiscNRX,S1,16,0.4,942,1280,0.7359375
2,AINR,S1,16,0.5,772,1280,0.603125
2,DiscNRX,S1,16,0.5,696,1280,0.54375
2,AINR,S1,16,0.6,568,1280,0.44375
2,DiscNRX,S1,16,0.6,501,1280,0.39140625
2,AINR,S1,16,0.7,367,1280,0.28671875
2,DiscNRX,S1,16,0.7,323,1280,0.25234375
2,AINR,S1,16,0.8,194,1280,0.1515625
2,DiscNRX,S1,16,0.8,161,1280,0.12578125
2,AINR,S1,16,0.9,103,1280,0.08046875
2,DiscNRX,S1,16,0.9,81,1280,0.06328125
2,AINR,S1,16,1.0,60,1280,0.046875
2,DiscNRX,S1,16,1.0,40,1280,0.03125
2,AINR,S1,16,1.1,26,1280,0.0203125
2,DiscNRX,S1,16,1.1,13,1280,0.01015625
2,AINR,S1,16,1.2,7,1280,0.00546875
2,DiscNRX,S1,16,1.2,2,1280,0.0015625
2,AINR,S1,16,1.3,3,1280,0.00234375
2,DiscNRX,S1,16,1.3,1,1280,0.00078125
2,AINR,S1,16,1.4,3,1280,0.00234375
2,DiscNRX,S1,16,1.4,1,1280,0.00078125
2,AINR,S1,16,1.5,1,1280,0.00078125
2,DiscNRX,S1,16,1.5,0,1280,0.0
2,AINR,S1,16,1.6,0,1280,0.0
2,DiscNRX,S1,16,1.6,0,1280,0.0
2,AINR,S1,16,1.7,0,1280,0.0
2,DiscNRX,S1,16,1.7,0,1280,0.0
2,AINR,S1,16,1.8,0,1280,0.0
2,DiscNRX,S1,16,1.8,1,1280,0.00078125
2,AINR,S1,16,1.9,0,1280,0.0
2,DiscNRX,S1,16,1.9,0,1280,0.0
2,AINR,S1,16,2.0,0,1280,0.0
2,DiscNRX,S1,16,2.0,0,1280,0.0
2,AINR,S1,16,2.5,0,1280,0.0
2,DiscNRX,S1,16,2.5,0,1280,0.0
2,AINR,S1,16,3.0,0,1280,0.0
2,DiscNRX,S1,16,3.0,0,1280,0.0
2,AINR,S1,16,3.5,0,1280,0.0
2,DiscNRX,S1,16,3.5,0,1280,0.0
2,AINR,S1,16,4.0,0,1280,0.0
2,DiscNRX,S1,16,4.0,0,1280,0.0
2,AINR,S1,16,4.1,0,1280,0.0
2,DiscNRX,S1,16,4.1,0,1280,0.0
2,AINR,S1,16,4.2,0,1280,0.0
2,DiscNRX,S1,16,4.2,0,1280,0.0
2,AINR,S1,16,4.3,0,1280,0.0
2,DiscNRX,S1,16,4.3,0,1280,0.0
2,AINR,S1,16,4.4,0,1280,0.0
2,DiscNRX,S1,16,4.4,0,1280,0.0
2,AINR,S1,16,4.5,0,1280,0.0
2,DiscNRX,S1,16,4.5,0,1280,0.0
2,AINR,S1,16,4.6,0,1280,0.0
2,DiscNRX,S1,16,4.6,0,1280,0.0
2,AINR,S1,16,4.7,0,1280,0.0
2,DiscNRX,S1,16,4.7,0,1280,0.0
2,AINR,S1,16,4.8,0,1280,0.0
2,DiscNRX,S1,16,4.8,0,1280,0.0
2,AINR,S1,16,4.9,0,1280,0.0
2,DiscNRX,S1,16,4.9,0,1280,0.0
2,AINR,S1,16,5.0,0,1280,0.0
2,DiscNRX,S1,16,5.0,0,1280,0.0
2,AINR,S1,16,5.1,0,1280,0.0
2,DiscNRX,S1,16,5.1,0,1280,0.0
2,AINR,S1,16,5.2,0,1280,0.0
2,DiscNRX,S1,16,5.2,0,1280,0.0
2,AINR,S1,16,5.3,0,1280,0.0
2,DiscNRX,S1,16,5.3,0,1280,0.0
2,AINR,S1,16,5.4,0,1280,0.0
2,DiscNRX,S1,16,5.4,0,1280,0.0
2,AINR,S1,16,5.5,0,1280,0.0
2,DiscNRX,S1,16,5.5,0,1280,0.0
2,AINR,S1,16,5.6,0,1280,0.0
2,DiscNRX,S1,16,5.6,0,1280,0.0
2,AINR,S1,16,5.7,0,1280,0.0
2,DiscNRX,S1,16,5.7,0,1280,0.0
2,AINR,S1,16,5.8,0,1280,0.0
2,DiscNRX,S1,16,5.8,0,1280,0.0
2,AINR,S1,16,5.9,0,1280,0.0
2,DiscNRX,S1,16,5.9,0,1280,0.0
2,AINR,S1,16,6.0,0,1280,0.0
2,DiscNRX,S1,16,6.0,0,1280,0.0
