seed,cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,resid,tdisp,conf_a,conf_d,cf,ct,ymag,crc_a,crc_d,err_AINR,err_DiscNRX,err_LS-LIN,err_LS-LMMSE,err_PCSI
1,S1,C,100.0,3.0,5.0,val,0,0,0.5586360692977905,0.006612452678382397,0.8996832370758057,0.8870928883552551,0.5498703122138977,0.7777581810951233,0.9711115956306458,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,1,0.46411851048469543,0.0018918045097962022,0.9062637686729431,0.9141295552253723,0.6946750283241272,0.7775187492370605,1.0253410339355469,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,2,0.4518800377845764,0.004154272377490997,0.9096344709396362,0.9066713452339172,0.7451157569885254,0.7871934771537781,1.0384715795516968,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,3,0.4394480586051941,0.003474949626252055,0.8962432146072388,0.90449059009552,0.6592352390289307,0.7695851922035217,0.9988589286804199,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,4,0.5759381651878357,0.0024518014397472143,0.8946022391319275,0.9014410972595215,0.713146448135376,0.73757004737854,1.0524228811264038,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,5,0.4875147044658661,0.0022662505507469177,0.9212759137153625,0.9152688980102539,0.6628647446632385,0.7585020661354065,1.0105808973312378,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,6,0.5438891649246216,0.0038450744468718767,0.9167184829711914,0.9019402265548706,0.6649450659751892,0.7440933585166931,1.010485291481018,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,7,0.5295190215110779,0.0023147957399487495,0.9050963521003723,0.9117680788040161,0.7427644729614258,0.7824999690055847,1.046249508857727,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,8,0.4246216416358948,0.005990211386233568,0.8963046073913574,0.9069961905479431,0.6100828051567078,0.7369090914726257,0.981362521648407,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,9,0.5185673236846924,0.001691634301096201,0.8910360336303711,0.8962087035179138,0.6184976100921631,0.7997750043869019,0.9862104654312134,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,10,0.4494773745536804,0.0027731352020055056,0.8907447457313538,0.8979296088218689,0.6114751100540161,0.7542913556098938,0.9893271327018738,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,S1,C,100.0,3.0,5.0,val,0,11,0.44508886337280273,0.0018992339028045535,0.9151698350906372,0.9113843441009521,0.4910595417022705,0.7649506330490112,0.9573072195053101,1.0,1.0,0.0,0.0,0.0,0.0,0.0
