seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
1,AINR,S1,16,-1.0,1280,1280,1.0
1,DiscNRX,S1,16,-1.0,1280,1280,1.0
1,AINR,S1,16,-0.5,1280,1280,1.0
1,DiscNRX,S1,16,-0.5,1280,1280,1.0
1,AINR,S1,16,0.0,1274,1280,0.9953125
1,DiscNRX,S1,16,0.0,1274,1280,0.9953125
1,AINR,S1,16,0.1,1257,1280,0.98203125
1,DiscNRX,S1,16,0.1,1254,1280,0.9796875
1,AINR,S1,16,0.2,1193,1280,0.93203125
1,DiscNRX,S1,16,0.2,1197,1280,0.93515625
1,AINR,S1,16,0.3,1102,1280,0.8609375
1,DiscNRX,S1,16,0.3,1122,1280,0.8765625
1,AINR,S1,16,0.4,978,1280,0.7640625
1,DiscNRX,S1,16,0.4,980,1280,0.765625
1,AINR,S1,16,0.5,692,1280,0.540625
1,DiscNRX,S1,16,0.5,699,1280,0.54609375
1,AINR,S1,16,0.6,504,1280,0.39375
1,DiscNRX,S1,16,0.6,523,1280,0.40859375
1,AINR,S1,16,0.7,333,1280,0.26015625
1,DiscNRX,S1,16,0.7,331,1280,0.25859375
1,AINR,S1,16,0.8,192,1280,0.15
1,DiscNRX,S1,16,0.8,207,1280,0.16171875
1,AINR,S1,16,0.9,93,1280,0.07265625
1,DiscNRX,S1,16,0.9,88,1280,0.06875
1,AINR,S1,16,1.0,40,1280,0.03125
1,DiscNRX,S1,16,1.0,33,1280,0.02578125
1,AINR,S1,16,1.1,18,1280,0.0140625
1,DiscNRX,S1,16,1.1,23,1280,0.01796875
1,AINR,S1,16,1.2,3,1280,0.00234375
1,DiscNRX,S1,16,1.2,9,1280,0.00703125
1,AINR,S1,16,1.3,5,1280,0.00390625
1,DiscNRX,S1,16,1.3,3,1280,0.00234375
1,AINR,S1,16,1.4,2,1280,0.0015625
1,DiscNRX,S1,16,1.4,0,1280,0.0
1,AINR,S1,16,1.5,0,1280,0.0
1,DiscNRX,S1,16,1.5,0,1280,0.0
1,AINR,S1,16,1.6,2,1280,0.0015625
1,DiscNRX,S1,16,1.6,0,1280,0.0
1,AINR,S1,16,1.7,1,1280,0.00078125
1,DiscNRX,S1,16,1.7,0,1280,0.0
1,AINR,S1,16,1.8,0,1280,0.0
1,DiscNRX,S1,16,1.8,0,1280,0.0
1,AINR,S1,16,1.9,0,1280,0.0
1,DiscNRX,S1,16,1.9,0,1280,0.0
1,AINR,S1,16,2.0,0,1280,0.0
1,DiscNRX,S1,16,2.0,0,1280,0.0
1,AINR,S1,16,2.5,0,1280,0.0
1,DiscNRX,S1,16,2.5,0,1280,0.0
1,AINR,S1,16,3.0,0,1280,0.0
1,DiscNRX,S1,16,3.0,0,1280,0.0
1,AINR,S1,16,3.5,0,1280,0.0
1,DiscNRX,S1,16,3.5,0,1280,0.0
1,AINR,S1,16,4.0,0,1280,0.0
1,DiscNRX,S1,16,4.0,0,1280,0.0
1,AINR,S1,16,4.1,0,1280,0.0
1,DiscNRX,S1,16,4.1,0,1280,0.0
1,AINR,S1,16,4.2,0,1280,0.0
1,DiscNRX,S1,16,4.2,0,1280,0.0
1,AINR,S1,16,4.3,0,1280,0.0
1,DiscNRX,S1,16,4.3,0,1280,0.0
1,AINR,S1,16,4.4,0,1280,0.0
1,DiscNRX,S1,16,4.4,0,1280,0.0
1,AINR,S1,16,4.5,0,1280,0.0
1,DiscNRX,S1,16,4.5,0,1280,0.0
1,AINR,S1,16,4.6,0,1280,0.0
1,DiscNRX,S1,16,4.6,0,1280,0.0
1,AINR,S1,16,4.7,0,1280,0.0
1,DiscNRX,S1,16,4.7,0,1280,0.0
1,AINR,S1,16,4.8,0,1280,0.0
1,DiscNRX,S1,16,4.8,0,1280,0.0
1,AINR,S1,16,4.9,0,1280,0.0
1,DiscNRX,S1,16,4.9,0,1280,0.0
1,AINR,S1,16,5.0,0,1280,0.0
1,DiscNRX,S1,16,5.0,0,1280,0.0
1,AINR,S1,16,5.1,0,1280,0.0
1,DiscNRX,S1,16,5.1,0,1280,0.0
1,AINR,S1,16,5.2,0,1280,0.0
1,DiscNRX,S1,16,5.2,0,1280,0.0
1,AINR,S1,16,5.3,0,1280,0.0
1,DiscNRX,S1,16,5.3,0,1280,0.0
1,AINR,S1,16,5.4,0,1280,0.0
1,DiscNRX,S1,16,5.4,0,1280,0.0
1,AINR,S1,16,5.5,0,1280,0.0
1,DiscNRX,S1,16,5.5,0,1280,0.0
1,AINR,S1,16,5.6,0,1280,0.0
1,DiscNRX,S1,16,5.6,0,1280,0.0
1,AINR,S1,16,5.7,0,1280,0.0
1,DiscNRX,S1,16,5.7,0,1280,0.0
1,AINR,S1,16,5.8,0,1280,0.0
1,DiscNRX,S1,16,5.8,0,1280,0.0
1,AINR,S1,16,5.9,0,1280,0.0
1,DiscNRX,S1,16,5.9,0,1280,0.0
1,AINR,S1,16,6.0,0,1280,0.0
1,DiscNRX,S1,16,6.0,0,1280,0.0
