seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
-1,LS-LMMSE,S1,64,7.7,0,1280,0.0
-1,PCSI,S1,64,7.7,0,1280,0.0
-1,LS-LIN,S1,64,7.8,1197,1280,0.93515625
-1,LS-LMMSE,S1,64,7.8,0,1280,0.0
-1,PCSI,S1,64,7.8,0,1280,0.0
-1,LS-LIN,S1,64,7.9,1095,1280,0.85546875
-1,LS-LMMSE,S1,64,7.9,0,1280,0.0
-1,PCSI,S1,64,7.9,0,1280,0.0
-1,LS-LIN,S1,64,8.0,948,1280,0.740625
-1,LS-LMMSE,S1,64,8.0,0,1280,0.0
-1,PCSI,S1,64,8.0,0,1280,0.0
-1,LS-LIN,S1,64,8.1,780,1280,0.609375
-1,LS-LMMSE,S1,64,8.1,0,1280,0.0
-1,PCSI,S1,64,8.1,0,1280,0.0
-1,LS-LIN,S1,64,8.2,573,1280,0.44765625
-1,LS-LMMSE,S1,64,8.2,0,1280,0.0
-1,PCSI,S1,64,8.2,0,1280,0.0
-1,LS-LIN,S1,64,8.3,370,1280,0.2890625
-1,LS-LMMSE,S1,64,8.3,0,1280,0.0
-1,PCSI,S1,64,8.3,0,1280,0.0
-1,LS-LIN,S1,64,8.4,192,1280,0.15
-1,LS-LMMSE,S1,64,8.4,0,1280,0.0
-1,PCSI,S1,64,8.4,0,1280,0.0
-1,LS-LIN,S1,64,8.5,109,1280,0.08515625
-1,LS-LMMSE,S1,64,8.5,0,1280,0.0
-1,PCSI,S1,64,8.5,0,1280,0.0
-1,LS-LIN,S1,64,8.6,50,1280,0.0390625
-1,LS-LMMSE,S1,64,8.6,0,1280,0.0
-1,PCSI,S1,64,8.6,0,1280,0.0
-1,LS-LIN,S1,64,8.7,19,1280,0.01484375
-1,LS-LMMSE,S1,64,8.7,0,1280,0.0
-1,PCSI,S1,64,8.7,0,1280,0.0
-1,LS-LIN,S1,64,8.8,13,1280,0.01015625
-1,LS-LMMSE,S1,64,8.8,0,1280,0.0
-1,PCSI,S1,64,8.8,0,1280,0.0
-1,LS-LIN,S1,64,8.9,5,1280,0.00390625
-1,LS-LMMSE,S1,64,8.9,0,1280,0.0
-1,PCSI,S1,64,8.9,0,1280,0.0
-1,LS-LIN,S1,64,9.0,1,1280,0.00078125
-1,LS-LMMSE,S1,64,9.0,0,1280,0.0
-1,PCSI,S1,64,9.0,0,1280,0.0
-1,LS-LIN,S1,64,9.1,1,1280,0.00078125
-1,LS-LMMSE,S1,64,9.1,0,1280,0.0
-1,PCSI,S1,64,9.1,0,1280,0.0
-1,LS-LIN,S1,64,9.2,0,1280,0.0
-1,LS-LMMSE,S1,64,9.2,0,1280,0.0
-1,PCSI,S1,64,9.2,0,1280,0.0
-1,LS-LIN,S1,64,9.3,0,1280,0.0
-1,LS-LMMSE,S1,64,9.3,0,1280,0.0
-1,PCSI,S1,64,9.3,0,1280,0.0
-1,LS-LIN,S1,64,9.4,0,1280,0.0
-1,LS-LMMSE,S1,64,9.4,0,1280,0.0
-1,PCSI,S1,64,9.4,0,1280,0.0
-1,LS-LIN,S1,64,9.5,0,1280,0.0
-1,LS-LMMSE,S1,64,9.5,0,1280,0.0
-1,PCSI,S1,64,9.5,0,1280,0.0
-1,LS-LIN,S1,64,10.0,0,1280,0.0
-1,LS-LMMSE,S1,64,10.0,0,1280,0.0
-1,PCSI,S1,64,10.0,0,1280,0.0
