seed,receiver,step,cond,snr_db,block_errors,n_blocks,bler
3,AINR,12000,S1,5.0,0,960,0.0
3,AINR,12000,DS600,5.0,1,960,0.0010416666666666667
3,AINR,12000,DS1000,5.0,0,960,0.0
3,AINR,12000,S2,5.0,11,960,0.011458333333333333
3,AINR,12000,V250,5.0,372,960,0.3875
3,AINR,25000,S1,5.0,0,960,0.0
3,AINR,25000,DS600,5.0,40,960,0.041666666666666664
3,AINR,25000,DS1000,5.0,177,960,0.184375
3,AINR,25000,S2,5.0,323,960,0.33645833333333336
3,AINR,25000,V250,5.0,367,960,0.38229166666666664
3,AINR,50000,S1,5.0,0,960,0.0
3,AINR,50000,DS600,5.0,171,960,0.178125
3,AINR,50000,DS1000,5.0,564,960,0.5875
3,AINR,50000,S2,5.0,887,960,0.9239583333333333
3,AINR,50000,V250,5.0,361,960,0.37604166666666666
3,DiscNRX,12000,S1,5.0,0,960,0.0
3,DiscNRX,12000,DS600,5.0,3,960,0.003125
3,DiscNRX,12000,DS1000,5.0,4,960,0.004166666666666667
3,DiscNRX,12000,S2,5.0,31,960,0.03229166666666667
3,DiscNRX,12000,V250,5.0,388,960,0.4041666666666667
3,DiscNRX,25000,S1,5.0,0,960,0.0
3,DiscNRX,25000,DS600,5.0,72,960,0.075
3,DiscNRX,25000,DS1000,5.0,253,960,0.2635416666666667
3,DiscNRX,25000,S2,5.0,377,960,0.3927083333333333
3,DiscNRX,25000,V250,5.0,389,960,0.40520833333333334
3,DiscNRX,50000,S1,5.0,0,960,0.0
3,DiscNRX,50000,DS600,5.0,163,960,0.16979166666666667
3,DiscNRX,50000,DS1000,5.0,595,960,0.6197916666666666
3,DiscNRX,50000,S2,5.0,817,960,0.8510416666666667
3,DiscNRX,50000,V250,5.0,373,960,0.3885416666666667
