seed,receiver,snr_db,block_errors,n_blocks,bler
3,AINR,0,499,500,0.998
3,DiscNRX,0,500,500,1.0
3,AINR,5,65,500,0.13
3,DiscNRX,5,67,500,0.134
3,AINR,10,43,500,0.086
3,DiscNRX,10,50,500,0.1
3,AINR,15,35,500,0.07
3,DiscNRX,15,37,500,0.074
3,AINR,20,28,500,0.056
3,DiscNRX,20,35,500,0.07
3,AINR,25,28,500,0.056
3,DiscNRX,25,35,500,0.07
