seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
0,AINR,S1,64,3.0,1280,1280,1.0
0,DiscNRX,S1,64,3.0,1280,1280,1.0
0,AINR,S1,64,3.5,1280,1280,1.0
0,DiscNRX,S1,64,3.5,1280,1280,1.0
0,AINR,S1,64,4.0,1280,1280,1.0
0,DiscNRX,S1,64,4.0,1280,1280,1.0
0,AINR,S1,64,4.1,1280,1280,1.0
0,DiscNRX,S1,64,4.1,1280,1280,1.0
0,AINR,S1,64,4.2,1280,1280,1.0
0,DiscNRX,S1,64,4.2,1280,1280,1.0
0,AINR,S1,64,4.3,1280,1280,1.0
0,DiscNRX,S1,64,4.3,1280,1280,1.0
0,AINR,S1,64,4.4,1280,1280,1.0
0,DiscNRX,S1,64,4.4,1278,1280,0.9984375
0,AINR,S1,64,4.5,1278,1280,0.9984375
0,DiscNRX,S1,64,4.5,1279,1280,0.99921875
0,AINR,S1,64,4.6,1271,1280,0.99296875
0,DiscNRX,S1,64,4.6,1267,1280,0.98984375
0,AINR,S1,64,4.7,1232,1280,0.9625
0,DiscNRX,S1,64,4.7,1231,1280,0.96171875
0,AINR,S1,64,4.8,1190,1280,0.9296875
0,DiscNRX,S1,64,4.8,1172,1280,0.915625
0,AINR,S1,64,4.9,1092,1280,0.853125
0,DiscNRX,S1,64,4.9,1053,1280,0.82265625
0,AINR,S1,64,5.0,912,1280,0.7125
0,DiscNRX,S1,64,5.0,876,1280,0.684375
0,AINR,S1,64,5.1,759,1280,0.59296875
0,DiscNRX,S1,64,5.1,716,1280,0.559375
0,AINR,S1,64,5.2,500,1280,0.390625
0,DiscNRX,S1,64,5.2,445,1280,0.34765625
0,AINR,S1,64,5.3,322,1280,0.2515625
0,DiscNRX,S1,64,5.3,295,1280,0.23046875
0,AINR,S1,64,5.4,196,1280,0.153125
0,DiscNRX,S1,64,5.4,165,1280,0.12890625
0,AINR,S1,64,5.5,87,1280,0.06796875
0,DiscNRX,S1,64,5.5,84,1280,0.065625
0,AINR,S1,64,5.6,43,1280,0.03359375
0,DiscNRX,S1,64,5.6,32,1280,0.025
0,AINR,S1,64,5.7,28,1280,0.021875
0,DiscNRX,S1,64,5.7,17,1280,0.01328125
0,AINR,S1,64,5.8,9,1280,0.00703125
0,DiscNRX,S1,64,5.8,6,1280,0.0046875
0,AINR,S1,64,5.9,5,1280,0.00390625
0,DiscNRX,S1,64,5.9,5,1280,0.00390625
0,AINR,S1,64,6.0,3,1280,0.00234375
0,DiscNRX,S1,64,6.0,2,1280,0.0015625
0,AINR,S1,64,6.1,4,1280,0.003125
0,DiscNRX,S1,64,6.1,1,1280,0.00078125
0,AINR,S1,64,6.2,4,1280,0.003125
0,DiscNRX,S1,64,6.2,2,1280,0.0015625
0,AINR,S1,64,6.3,1,1280,0.00078125
0,DiscNRX,S1,64,6.3,1,1280,0.00078125
0,AINR,S1,64,6.4,0,1280,0.0
0,DiscNRX,S1,64,6.4,0,1280,0.0
0,AINR,S1,64,6.5,2,1280,0.0015625
0,DiscNRX,S1,64,6.5,1,1280,0.00078125
0,AINR,S1,64,7.0,0,1280,0.0
0,DiscNRX,S1,64,7.0,0,1280,0.0
0,AINR,S1,64,7.5,0,1280,0.0
0,DiscNRX,S1,64,7.5,0,1280,0.0
0,AINR,S1,64,7.6,0,1280,0.0
0,DiscNRX,S1,64,7.6,0,1280,0.0
0,AINR,S1,64,7.7,0,1280,0.0
0,DiscNRX,S1,64,7.7,0,1280,0.0
0,AINR,S1,64,7.8,0,1280,0.0
0,DiscNRX,S1,64,7.8,0,1280,0.0
0,AINR,S1,64,7.9,0,1280,0.0
0,DiscNRX,S1,64,7.9,0,1280,0.0
0,AINR,S1,64,8.0,0,1280,0.0
0,DiscNRX,S1,64,8.0,0,1280,0.0
0,AINR,S1,64,8.1,0,1280,0.0
0,DiscNRX,S1,64,8.1,0,1280,0.0
0,AINR,S1,64,8.2,0,1280,0.0
0,DiscNRX,S1,64,8.2,0,1280,0.0
0,AINR,S1,64,8.3,0,1280,0.0
0,DiscNRX,S1,64,8.3,0,1280,0.0
0,AINR,S1,64,8.4,0,1280,0.0
0,DiscNRX,S1,64,8.4,0,1280,0.0
0,AINR,S1,64,8.5,0,1280,0.0
0,DiscNRX,S1,64,8.5,0,1280,0.0
0,AINR,S1,64,8.6,0,1280,0.0
0,DiscNRX,S1,64,8.6,0,1280,0.0
0,AINR,S1,64,8.7,0,1280,0.0
0,DiscNRX,S1,64,8.7,0,1280,0.0
0,AINR,S1,64,8.8,0,1280,0.0
0,DiscNRX,S1,64,8.8,0,1280,0.0
0,AINR,S1,64,8.9,0,1280,0.0
0,DiscNRX,S1,64,8.9,0,1280,0.0
0,AINR,S1,64,9.0,0,1280,0.0
0,DiscNRX,S1,64,9.0,0,1280,0.0
0,AINR,S1,64,9.1,0,1280,0.0
0,DiscNRX,S1,64,9.1,0,1280,0.0
0,AINR,S1,64,9.2,0,1280,0.0
0,DiscNRX,S1,64,9.2,0,1280,0.0
0,AINR,S1,64,9.3,0,1280,0.0
0,DiscNRX,S1,64,9.3,0,1280,0.0
0,AINR,S1,64,9.4,0,1280,0.0
0,DiscNRX,S1,64,9.4,0,1280,0.0
0,AINR,S1,64,9.5,0,1280,0.0
0,DiscNRX,S1,64,9.5,0,1280,0.0
0,AINR,S1,64,10.0,0,1280,0.0
0,DiscNRX,S1,64,10.0,0,1280,0.0
