seed,receiver,snr_db,bler_before,bler_after,n_blocks,adapt_slots,updates,false_pass_updates
2,AINR,5.0,0.128,0.104,500,600,564,0
2,DiscNRX,5.0,0.132,0.072,500,600,560,0
2,AINR,15.0,0.08,0.014,500,600,588,0
2,DiscNRX,15.0,0.086,0.01,500,600,586,0
