seed,cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,resid,tdisp,conf_a,conf_d,cf,ct,ymag,crc_a,crc_d,err_AINR,err_DiscNRX,err_LS-LIN,err_LS-LMMSE,err_PCSI
4,S1,C,100.0,3.0,5.0,val,0,0,0.4508000612258911,0.0026584763545542955,0.8967073559761047,0.8963361978530884,0.625011682510376,0.7650372385978699,1.0111768245697021,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,1,0.6432561874389648,0.0026973076164722443,0.9076085686683655,0.893798828125,0.6870435476303101,0.7658485174179077,1.0160963535308838,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,2,0.4922263026237488,0.002979262499138713,0.9060277938842773,0.8920127749443054,0.4335489869117737,0.7788243293762207,0.9064491987228394,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,3,0.4517197608947754,0.0017304462380707264,0.9095367193222046,0.9053525328636169,0.47400227189064026,0.7588307857513428,0.9416638612747192,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,4,0.4476204812526703,0.002613823162391782,0.9086125493049622,0.9074342846870422,0.7439882755279541,0.7675091028213501,1.0375912189483643,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,5,0.5984447002410889,0.0032311573158949614,0.9108580350875854,0.9072179794311523,0.6333020925521851,0.765487015247345,0.992141842842102,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,6,0.4569958746433258,0.0012050963705405593,0.9112461805343628,0.9034609198570251,0.6481766104698181,0.7653469443321228,1.008888840675354,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,7,0.49772587418556213,0.0037264921702444553,0.8953021764755249,0.8978878259658813,0.6388515830039978,0.7835994958877563,1.0029375553131104,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,8,0.4336508810520172,0.0035026464611291885,0.9001411199569702,0.9064835906028748,0.5358591079711914,0.777995765209198,0.9702633023262024,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,S1,C,100.0,3.0,5.0,val,0,9,0.5338361263275146,0.0011194798862561584,0.9051774740219116,0.9111347198486328,0.6480493545532227,0.7589976787567139,1.0242952108383179,1.0,1.0,0.0,0.0,0.0,0.0,0.0
