config,init,seed,K,n,colw_mean,colw_min,colw_max,init_coded_ber,init_info_ber,init_info_implied_coded_ber,final_coded_ber,final_info_ber,post_bp_info_ber,post_bp_bler,final_grad_coded,final_grad_info,seconds
16QAM-K1824,zero,0,1824,3648,22.31304931640625,1.0,69.0,0.5032209753990173,0.5092516541481018,0.5032209753990173,0.0017817982006818056,0.5092516541481018,0.0,0.0,0.02258431352674961,0.0,34.68700957298279
16QAM-K1824,zero,1,1824,3648,22.31304931640625,1.0,69.0,0.4944832921028137,0.49698466062545776,0.4944832921028137,0.0019873904529958963,0.49698466062545776,0.0,0.0,0.022537654265761375,0.0,33.896639823913574
16QAM-K1824,zero,2,1824,3648,22.31304931640625,1.0,69.0,0.49976015090942383,0.5008223652839661,0.49976015090942383,0.001953125,0.5008223652839661,0.0,0.0,0.022491129115223885,0.0,34.4633150100708
16QAM-K1824,zero,3,1824,3648,22.31304931640625,1.0,69.0,0.49808114767074585,0.49821820855140686,0.49808114767074585,0.0019188596634194255,0.49821820855140686,0.0,0.0,0.02254869043827057,0.0,34.10043787956238
16QAM-K1824,zero,4,1824,3648,22.31304931640625,1.0,69.0,0.5044887661933899,0.5038377046585083,0.5044887661933899,0.002090186346322298,0.5038377046585083,0.0,0.0,0.02268495410680771,0.0,33.97513389587402
16QAM-K1824,rand,0,1824,3648,22.31304931640625,1.0,69.0,0.5015419721603394,0.4906112849712372,0.4991433620452881,0.001679002190940082,0.19969846308231354,0.0,0.0,0.021441105753183365,0.022592751309275627,34.36233377456665
16QAM-K1824,rand,1,1824,3648,22.31304931640625,1.0,69.0,0.49958881735801697,0.4989720284938812,0.5026384592056274,0.002090186346322298,0.19962993264198303,0.0,0.0,0.02136409282684326,0.022255094721913338,34.67845559120178
16QAM-K1824,rand,2,1824,3648,22.31304931640625,1.0,69.0,0.5018503069877625,0.49671053886413574,0.5019873976707458,0.0023985744919627905,0.1992872804403305,0.0,0.0,0.02147565968334675,0.022668400779366493,34.07495379447937
16QAM-K1824,rand,3,1824,3648,22.31304931640625,1.0,69.0,0.49568256735801697,0.4976014196872711,0.4970189034938812,0.001816063653677702,0.1977796107530594,0.0,0.0,0.021373631432652473,0.022333752363920212,35.29640245437622
16QAM-K1824,rand,4,1824,3648,22.31304931640625,1.0,69.0,0.5043859481811523,0.5032209753990173,0.498320996761322,0.0020559211261570454,0.20545504987239838,0.0,0.0,0.021385230123996735,0.02347647026181221,34.400675773620605
16QAM-K1824,warm,0,1824,3648,22.31304931640625,1.0,69.0,0.30016446113586426,0.3033854067325592,0.42262884974479675,0.0014734100550413132,0.15309758484363556,0.0,0.0,0.018672103062272072,0.02142420969903469,34.30373668670654
16QAM-K1824,warm,1,1824,3648,22.31304931640625,1.0,69.0,0.29728618264198303,0.30030155181884766,0.421737939119339,0.0019873904529958963,0.15522204339504242,0.0,0.0,0.01870923489332199,0.02054797112941742,34.478177547454834
16QAM-K1824,warm,2,1824,3648,22.31304931640625,1.0,69.0,0.2998560965061188,0.304824560880661,0.422012060880661,0.001541940844617784,0.152480810880661,0.0,0.0,0.018627585843205452,0.021494682878255844,34.281485080718994
16QAM-K1824,warm,3,1824,3648,22.31304931640625,1.0,69.0,0.2996847629547119,0.29995888471603394,0.4169407784938812,0.002090186346322298,0.15426261723041534,0.0,0.0,0.018459267914295197,0.020865267142653465,35.44920897483826
16QAM-K1824,warm,4,1824,3648,22.31304931640625,1.0,69.0,0.30355674028396606,0.29776591062545776,0.41800302267074585,0.0018503289902582765,0.16015625,0.0,0.0,0.018629543483257294,0.021330837160348892,35.64137387275696
64QAM-K2736,zero,0,2736,5472,22.36184310913086,1.0,71.0,0.49773848056793213,0.49648210406303406,0.49773848056793213,0.05023300647735596,0.49648210406303406,0.0,0.0,0.015666289255023003,0.0,42.5856351852417
64QAM-K2736,zero,1,2736,5472,22.36184310913086,1.0,71.0,0.5004112124443054,0.4980354607105255,0.5004112124443054,0.051717836409807205,0.4980354607105255,0.0,0.0,0.015747372061014175,0.0,43.46955585479736
64QAM-K2736,zero,2,2736,5472,22.36184310913086,1.0,71.0,0.4997944235801697,0.49872076511383057,0.4997944235801697,0.04893092066049576,0.49872076511383057,0.0,0.0,0.015649892389774323,0.0,47.979244232177734
64QAM-K2736,zero,3,2736,5472,22.36184310913086,1.0,71.0,0.49888065457344055,0.4991319477558136,0.49888065457344055,0.04961622878909111,0.4991319477558136,0.0,0.0,0.015720032155513763,0.0,51.05576825141907
64QAM-K2736,zero,4,2736,5472,22.36184310913086,1.0,71.0,0.503061056137085,0.5001370906829834,0.503061056137085,0.048816703259944916,0.5001370906829834,0.0,0.0,0.01582336612045765,0.0,55.41096544265747
64QAM-K2736,rand,0,2736,5472,22.36184310913086,1.0,71.0,0.5009137392044067,0.4976699650287628,0.495819628238678,0.050689876079559326,0.28079313039779663,0.0,0.0,0.015156296081840992,0.016546910628676414,64.04674792289734
64QAM-K2736,rand,1,2736,5472,22.36184310913086,1.0,71.0,0.5017361044883728,0.49917763471603394,0.49714455008506775,0.04863395541906357,0.2818439304828644,0.0,0.0,0.015172643586993217,0.01660148985683918,63.31423997879028
64QAM-K2736,rand,2,2736,5472,22.36184310913086,1.0,71.0,0.5008680820465088,0.49917763471603394,0.5012564063072205,0.04931926354765892,0.2791483998298645,0.0,0.0,0.01514008454978466,0.01594815030694008,77.93583416938782
64QAM-K2736,rand,3,2736,5472,22.36184310913086,1.0,71.0,0.5015533566474915,0.4993603825569153,0.49634504318237305,0.05178636685013771,0.2826206088066101,0.0,0.0,0.015207254327833652,0.016455823555588722,70.14735341072083
64QAM-K2736,rand,4,2736,5472,22.36184310913086,1.0,71.0,0.500296950340271,0.5006853342056274,0.4997944235801697,0.050689876079559326,0.27786916494369507,0.0,0.0,0.015138025395572186,0.015902122482657433,80.19170069694519
64QAM-K2736,warm,0,2736,5472,22.36184310913086,1.0,71.0,0.29922789335250854,0.2987481653690338,0.4198419153690338,0.05137518420815468,0.23135964572429657,0.0,0.0,0.013203654438257217,0.014957371167838573,83.66733169555664
64QAM-K2736,warm,1,2736,5472,22.36184310913086,1.0,71.0,0.2987481653690338,0.2986111044883728,0.4210754930973053,0.05082693696022034,0.23181651532649994,0.0,0.0,0.01315518468618393,0.015083834528923035,85.63942956924438
64QAM-K2736,warm,2,2736,5472,22.36184310913086,1.0,71.0,0.2986796498298645,0.30263158679008484,0.4242507219314575,0.04961622878909111,0.22797879576683044,0.0,0.0,0.013193783350288868,0.014782726764678955,100.98731088638306
64QAM-K2736,warm,3,2736,5472,22.36184310913086,1.0,71.0,0.30016446113586426,0.30130666494369507,0.42306286096572876,0.04902229458093643,0.22775036096572876,0.0,0.0,0.013120945543050766,0.0150304539129138,91.90365624427795
64QAM-K2736,warm,4,2736,5472,22.36184310913086,1.0,71.0,0.30500730872154236,0.2945449650287628,0.4165067672729492,0.050392910838127136,0.23072002828121185,0.0,0.0,0.013222310692071915,0.014900648035109043,122.61533689498901
16QAM-K576,zero,0,576,1152,21.16666603088379,1.0,63.0,0.5122612714767456,0.5101996660232544,0.5122612714767456,0.0015190972480922937,0.5101996660232544,0.0,0.0,0.022734643891453743,0.0,36.386091470718384
16QAM-K576,zero,1,576,1152,21.16666603088379,1.0,63.0,0.5050998330116272,0.4913194477558136,0.5050998330116272,0.002170138992369175,0.4913194477558136,0.0,0.0,0.022661741822957993,0.0,37.320836782455444
16QAM-K576,zero,2,576,1152,21.16666603088379,1.0,63.0,0.4983724057674408,0.4973958432674408,0.4983724057674408,0.0015190972480922937,0.4973958432674408,0.0,0.0,0.022478153929114342,0.0,36.83561420440674
16QAM-K576,zero,3,576,1152,21.16666603088379,1.0,63.0,0.501953125,0.5047743320465088,0.501953125,0.001953125,0.5047743320465088,0.0,0.0,0.02250196970999241,0.0,37.12141180038452
16QAM-K576,zero,4,576,1152,21.16666603088379,1.0,63.0,0.504991352558136,0.5015190839767456,0.504991352558136,0.0017361111240461469,0.5015190839767456,0.0,0.0,0.0225942712277174,0.0,36.64976716041565
16QAM-K576,rand,0,576,1152,21.16666603088379,1.0,63.0,0.5075954794883728,0.493706613779068,0.4938150942325592,0.0016276041278615594,0.2055121511220932,0.0,0.0,0.021203091368079185,0.022995999082922935,36.626544713974
16QAM-K576,rand,1,576,1152,21.16666603088379,1.0,63.0,0.4928385317325592,0.5060763955116272,0.5055338740348816,0.0017361111240461469,0.2102864533662796,0.0,0.0,0.02146727219223976,0.022615190595388412,37.195279359817505
16QAM-K576,rand,2,576,1152,21.16666603088379,1.0,63.0,0.505967915058136,0.504991352558136,0.5041232705116272,0.0016276041278615594,0.2057291716337204,0.0,0.0,0.021513929590582848,0.02250327542424202,37.447120666503906
16QAM-K576,rand,3,576,1152,21.16666603088379,1.0,63.0,0.4925130307674408,0.504991352558136,0.5,0.0013020833721384406,0.1927083283662796,0.0,0.0,0.021366143599152565,0.02223602682352066,37.90356707572937
16QAM-K576,rand,4,576,1152,21.16666603088379,1.0,63.0,0.4989149272441864,0.4950086772441864,0.502061665058136,0.001953125,0.2081163227558136,0.0,0.0,0.02108875662088394,0.022763321176171303,37.550259590148926
16QAM-K576,warm,0,576,1152,21.16666603088379,1.0,63.0,0.3046875,0.3055555522441864,0.4051649272441864,0.0010850694961845875,0.1631944477558136,0.0,0.0,0.018538471311330795,0.020495587959885597,36.89360857009888
16QAM-K576,warm,1,576,1152,21.16666603088379,1.0,63.0,0.293511301279068,0.3038194477558136,0.4201388955116272,0.0018446181202307343,0.1566840261220932,0.0,0.0,0.018364250659942627,0.020637141540646553,36.68731999397278
16QAM-K576,warm,2,576,1152,21.16666603088379,1.0,63.0,0.3029513955116272,0.2955729067325592,0.4237196147441864,0.0015190972480922937,0.1575520783662796,0.0,0.0,0.018882419914007187,0.02091909758746624,37.1148476600647
16QAM-K576,warm,3,576,1152,21.16666603088379,1.0,63.0,0.3060981035232544,0.3075086772441864,0.4240451455116272,0.002170138992369175,0.1690538227558136,0.0,0.0,0.018274791538715363,0.020757826045155525,37.68885278701782
16QAM-K576,warm,4,576,1152,21.16666603088379,1.0,63.0,0.3050130307674408,0.2916666567325592,0.4195963442325592,0.0015190972480922937,0.1595052033662796,0.0,0.0,0.01880570873618126,0.020500795915722847,37.27193641662598
