seed,variant,cond,snr_db,bler,n_blocks
1,full,S1,5.0,0.0,1280
1,full,DS600,5.0,0.0,1280
1,full,DS1000,5.0,0.0,1280
1,full,S2,5.0,0.003125,1280
1,full,V250,5.0,0.4078125,1280
1,no_pilot,S1,5.0,1.0,1280
1,no_pilot,DS600,5.0,1.0,1280
1,no_pilot,DS1000,5.0,1.0,1280
1,no_pilot,S2,5.0,1.0,1280
1,no_pilot,V250,5.0,1.0,1280
1,pure_vfe,S1,5.0,0.00078125,1280
1,pure_vfe,DS600,5.0,0.9453125,1280
1,pure_vfe,DS1000,5.0,0.99921875,1280
1,pure_vfe,S2,5.0,1.0,1280
1,pure_vfe,V250,5.0,0.4578125,1280
1,no_detach,S1,5.0,0.00625,1280
1,no_detach,DS600,5.0,0.02421875,1280
1,no_detach,DS1000,5.0,0.0265625,1280
1,no_detach,S2,5.0,0.04609375,1280
1,no_detach,V250,5.0,0.44609375,1280
1,no_freeze,S1,5.0,0.0,1280
1,no_freeze,DS600,5.0,0.0,1280
1,no_freeze,DS1000,5.0,0.0,1280
1,no_freeze,S2,5.0,0.00625,1280
1,no_freeze,V250,5.0,0.365625,1280
