seed,receiver,snr_db,block_errors,n_blocks,bler
-1,LS-LIN,0,500,500,1.0
-1,LS-LMMSE,0,495,500,0.99
-1,PCSI,0,474,500,0.948
-1,LS-LIN,5,114,500,0.228
-1,LS-LMMSE,5,77,500,0.154
-1,PCSI,5,0,500,0.0
-1,LS-LIN,10,0,500,0.0
-1,LS-LMMSE,10,55,500,0.11
-1,PCSI,10,0,500,0.0
-1,LS-LIN,15,0,500,0.0
-1,LS-LMMSE,15,47,500,0.094
-1,PCSI,15,0,500,0.0
-1,LS-LIN,20,0,500,0.0
-1,LS-LMMSE,20,46,500,0.092
-1,PCSI,20,0,500,0.0
-1,LS-LIN,25,0,500,0.0
-1,LS-LMMSE,25,45,500,0.09
-1,PCSI,25,0,500,0.0
