seed,receiver,step,cond,snr_db,block_errors,n_blocks,bler
4,AINR,12000,S1,5.0,0,960,0.0
4,AINR,12000,DS600,5.0,0,960,0.0
4,AINR,12000,DS1000,5.0,0,960,0.0
4,AINR,12000,S2,5.0,0,960,0.0
4,AINR,12000,V250,5.0,402,960,0.41875
4,AINR,25000,S1,5.0,0,960,0.0
4,AINR,25000,DS600,5.0,6,960,0.00625
4,AINR,25000,DS1000,5.0,21,960,0.021875
4,AINR,25000,S2,5.0,58,960,0.06041666666666667
4,AINR,25000,V250,5.0,374,960,0.38958333333333334
4,AINR,50000,S1,5.0,0,960,0.0
4,AINR,50000,DS600,5.0,48,960,0.05
4,AINR,50000,DS1000,5.0,159,960,0.165625
4,AINR,50000,S2,5.0,273,960,0.284375
4,AINR,50000,V250,5.0,392,960,0.4083333333333333
4,DiscNRX,12000,S1,5.0,0,960,0.0
4,DiscNRX,12000,DS600,5.0,4,960,0.004166666666666667
4,DiscNRX,12000,DS1000,5.0,12,960,0.0125
4,DiscNRX,12000,S2,5.0,35,960,0.036458333333333336
4,DiscNRX,12000,V250,5.0,407,960,0.4239583333333333
4,DiscNRX,25000,S1,5.0,0,960,0.0
4,DiscNRX,25000,DS600,5.0,86,960,0.08958333333333333
4,DiscNRX,25000,DS1000,5.0,314,960,0.32708333333333334
4,DiscNRX,25000,S2,5.0,408,960,0.425
4,DiscNRX,25000,V250,5.0,369,960,0.384375
4,DiscNRX,50000,S1,5.0,0,960,0.0
4,DiscNRX,50000,DS600,5.0,175,960,0.18229166666666666
4,DiscNRX,50000,DS1000,5.0,491,960,0.5114583333333333
4,DiscNRX,50000,S2,5.0,666,960,0.69375
4,DiscNRX,50000,V250,5.0,374,960,0.38958333333333334
