seed,receiver,snr_db,block_errors,n_blocks,bler
1,AINR,0,498,500,0.996
1,DiscNRX,0,497,500,0.994
1,AINR,5,65,500,0.13
1,DiscNRX,5,66,500,0.132
1,AINR,10,45,500,0.09
1,DiscNRX,10,45,500,0.09
1,AINR,15,29,500,0.058
1,DiscNRX,15,38,500,0.076
1,AINR,20,25,500,0.05
1,DiscNRX,20,28,500,0.056
1,AINR,25,22,500,0.044
1,DiscNRX,25,26,500,0.052
