batch,receiver,stage,checkpoint_bytes,macs_per_slot,median_ms,ms_per_slot,params,params_detection_path,peak_mib,q1_ms,q3_ms
1,AINR,detection,,,80.02124999984517,80.02124999984517,,,,68.56894999964425,82.96962500116933
1,DiscNRX,detection,,,75.64355000067735,75.64355000067735,,,,68.65155000014056,80.23830000047383
1,LS-LIN,detection,,,79.7935000000507,79.7935000000507,,,,76.42652499907854,82.817050000358
1,LS-LMMSE,detection,,,242.1070000009422,242.1070000009422,,,,231.72684999872217,251.9077499996456
1,PCSI,detection,,,71.5776500001084,71.5776500001084,,,,69.6432000004279,74.2940750010348
1,AINR,cnn,,,5.116799999086652,5.116799999086652,,,,4.802450000624958,7.150999999339547
1,DiscNRX,cnn,,,6.189600000652717,6.189600000652717,,,,6.0520750002979185,6.385025000327005
1,shared,ldpc,,,67.69530000019586,67.69530000019586,,,,64.49585000018487,69.77450000113095
1,AINR S=1,monitor,,,12.839149999308574,12.839149999308574,,,,9.632150000470574,13.587525000275491
1,AINR S=4,monitor,,,12.961999999788532,12.961999999788532,,,,10.409075000552548,13.319099999989703
1,shared,crc,,,0.6407999999282765,0.6407999999282765,,,,0.6219249989953823,0.7975249991432065
1,AINR,adapt,,,36.95084999981191,36.95084999981191,,,,33.484149999821966,41.08572499944785
1,DiscNRX,adapt,,,18.712799999775598,18.712799999775598,,,,17.475250001098175,19.96534999943833
32,AINR,detection,,,74.60969999920053,2.3315531249750165,,,,70.25549999980285,78.15707500003555
32,DiscNRX,detection,,,74.88739999917016,2.3402312499740674,,,,69.29294999918056,77.79132499899788
32,LS-LIN,detection,,,79.89610000004177,2.4967531250013053,,,,73.34834999983286,83.49830000088332
32,LS-LMMSE,detection,,,262.83425000019633,8.213570312506135,,,,250.62762499965174,276.17532500062225
32,PCSI,detection,,,76.83660000020609,2.4011437500064403,,,,73.53600000033111,77.99012500026947
32,AINR,cnn,,,8.848449999277364,0.2765140624774176,,,,8.699025000169058,8.954325000559038
32,DiscNRX,cnn,,,9.024699999827135,0.28202187499459797,,,,8.839075000651064,9.592875000180356
32,shared,ldpc,,,74.19924999885552,2.318726562464235,,,,70.68577499967432,76.34762499947101
32,AINR S=1,monitor,,,13.256000000183121,0.41425000000572254,,,,11.929300000701915,13.930474999597209
32,AINR S=4,monitor,,,12.597249999998894,0.39366406249996544,,,,12.302625000302214,12.76839999945878
32,shared,crc,,,1.040600000123959,0.03251875000387372,,,,1.0206750007455412,1.067849999799364
32,AINR,peak_memory,,,,,,,83.75537109375,,
32,DiscNRX,peak_memory,,,,,,,83.75537109375,,
32,AINR monitor S=4,peak_memory,,,,,,,131.646484375,,
,AINR,static,2006901,323876928,,,318662,306116,,,
,DiscNRX,static,1238137,323864576,,,306116,306116,,,
