seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
3,AINR,S1,16,-1.0,1280,1280,1.0
3,DiscNRX,S1,16,-1.0,1280,1280,1.0
3,AINR,S1,16,-0.5,1280,1280,1.0
3,DiscNRX,S1,16,-0.5,1280,1280,1.0
3,AINR,S1,16,0.0,1280,1280,1.0
3,DiscNRX,S1,16,0.0,1272,1280,0.99375
3,AINR,S1,16,0.1,1255,1280,0.98046875
3,DiscNRX,S1,16,0.1,1251,1280,0.97734375
3,AINR,S1,16,0.2,1207,1280,0.94296875
3,DiscNRX,S1,16,0.2,1200,1280,0.9375
3,AINR,S1,16,0.3,1151,1280,0.89921875
3,DiscNRX,S1,16,0.3,1124,1280,0.878125
3,AINR,S1,16,0.4,989,1280,0.77265625
3,DiscNRX,S1,16,0.4,948,1280,0.740625
3,AINR,S1,16,0.5,812,1280,0.634375
3,DiscNRX,S1,16,0.5,753,1280,0.58828125
3,AINR,S1,16,0.6,566,1280,0.4421875
3,DiscNRX,S1,16,0.6,526,1280,0.4109375
3,AINR,S1,16,0.7,359,1280,0.28046875
3,DiscNRX,S1,16,0.7,322,1280,0.2515625
3,AINR,S1,16,0.8,200,1280,0.15625
3,DiscNRX,S1,16,0.8,179,1280,0.13984375
3,AINR,S1,16,0.9,110,1280,0.0859375
3,DiscNRX,S1,16,0.9,101,1280,0.07890625
3,AINR,S1,16,1.0,47,1280,0.03671875
3,DiscNRX,S1,16,1.0,40,1280,0.03125
3,AINR,S1,16,1.1,27,1280,0.02109375
3,DiscNRX,S1,16,1.1,22,1280,0.0171875
3,AINR,S1,16,1.2,7,1280,0.00546875
3,DiscNRX,S1,16,1.2,6,1280,0.0046875
3,AINR,S1,16,1.3,6,1280,0.0046875
3,DiscNRX,S1,16,1.3,5,1280,0.00390625
3,AINR,S1,16,1.4,0,1280,0.0
3,DiscNRX,S1,16,1.4,1,1280,0.00078125
3,AINR,S1,16,1.5,0,1280,0.0
3,DiscNRX,S1,16,1.5,0,1280,0.0
3,AINR,S1,16,1.6,0,1280,0.0
3,DiscNRX,S1,16,1.6,0,1280,0.0
3,AINR,S1,16,1.7,0,1280,0.0
3,DiscNRX,S1,16,1.7,0,1280,0.0
3,AINR,S1,16,1.8,1,1280,0.00078125
3,DiscNRX,S1,16,1.8,0,1280,0.0
3,AINR,S1,16,1.9,1,1280,0.00078125
3,DiscNRX,S1,16,1.9,1,1280,0.00078125
3,AINR,S1,16,2.0,0,1280,0.0
3,DiscNRX,S1,16,2.0,0,1280,0.0
3,AINR,S1,16,2.5,0,1280,0.0
3,DiscNRX,S1,16,2.5,0,1280,0.0
3,AINR,S1,16,3.0,0,1280,0.0
3,DiscNRX,S1,16,3.0,0,1280,0.0
3,AINR,S1,16,3.5,0,1280,0.0
3,DiscNRX,S1,16,3.5,0,1280,0.0
3,AINR,S1,16,4.0,0,1280,0.0
3,DiscNRX,S1,16,4.0,0,1280,0.0
3,AINR,S1,16,4.1,0,1280,0.0
3,DiscNRX,S1,16,4.1,0,1280,0.0
3,AINR,S1,16,4.2,0,1280,0.0
3,DiscNRX,S1,16,4.2,0,1280,0.0
3,AINR,S1,16,4.3,0,1280,0.0
3,DiscNRX,S1,16,4.3,0,1280,0.0
3,AINR,S1,16,4.4,0,1280,0.0
3,DiscNRX,S1,16,4.4,0,1280,0.0
3,AINR,S1,16,4.5,0,1280,0.0
3,DiscNRX,S1,16,4.5,0,1280,0.0
3,AINR,S1,16,4.6,0,1280,0.0
3,DiscNRX,S1,16,4.6,0,1280,0.0
3,AINR,S1,16,4.7,0,1280,0.0
3,DiscNRX,S1,16,4.7,0,1280,0.0
3,AINR,S1,16,4.8,0,1280,0.0
3,DiscNRX,S1,16,4.8,0,1280,0.0
3,AINR,S1,16,4.9,0,1280,0.0
3,DiscNRX,S1,16,4.9,0,1280,0.0
3,AINR,S1,16,5.0,0,1280,0.0
3,DiscNRX,S1,16,5.0,0,1280,0.0
3,AINR,S1,16,5.1,0,1280,0.0
3,DiscNRX,S1,16,5.1,0,1280,0.0
3,AINR,S1,16,5.2,0,1280,0.0
3,DiscNRX,S1,16,5.2,0,1280,0.0
3,AINR,S1,16,5.3,0,1280,0.0
3,DiscNRX,S1,16,5.3,0,1280,0.0
3,AINR,S1,16,5.4,0,1280,0.0
3,DiscNRX,S1,16,5.4,0,1280,0.0
3,AINR,S1,16,5.5,0,1280,0.0
3,DiscNRX,S1,16,5.5,0,1280,0.0
3,AINR,S1,16,5.6,0,1280,0.0
3,DiscNRX,S1,16,5.6,0,1280,0.0
3,AINR,S1,16,5.7,0,1280,0.0
3,DiscNRX,S1,16,5.7,0,1280,0.0
3,AINR,S1,16,5.8,0,1280,0.0
3,DiscNRX,S1,16,5.8,0,1280,0.0
3,AINR,S1,16,5.9,0,1280,0.0
3,DiscNRX,S1,16,5.9,0,1280,0.0
3,AINR,S1,16,6.0,0,1280,0.0
3,DiscNRX,S1,16,6.0,0,1280,0.0
