seed,variant,params,auc_s2,ber_5db,sigma_post_std
2,full,318662,1.0,0.0,0.2627897262573242
2,no_detach,318662,1.0,0.0005332545260898769,0.17680679261684418
2,pure_vfe,318662,1.0,0.0005054139182902873,0.21073324978351593
