seed,variant,cond,snr_db,bler,n_blocks
3,full,S1,5.0,0.0,1280
3,full,DS600,5.0,0.0015625,1280
3,full,DS1000,5.0,0.0,1280
3,full,S2,5.0,0.0046875,1280
3,full,V250,5.0,0.41328125,1280
3,no_detach,S1,5.0,0.01796875,1280
3,no_detach,DS600,5.0,0.053125,1280
3,no_detach,DS1000,5.0,0.0875,1280
3,no_detach,S2,5.0,0.090625,1280
3,no_detach,V250,5.0,0.44921875,1280
3,pure_vfe,S1,5.0,0.003125,1280
3,pure_vfe,DS600,5.0,0.95390625,1280
3,pure_vfe,DS1000,5.0,1.0,1280
3,pure_vfe,S2,5.0,1.0,1280
3,pure_vfe,V250,5.0,0.49609375,1280
