cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,err_Broad,err_DiscNRX,err_AINR,err_LS-LIN,err_LS-LMMSE,conf_b,conf_d,crc_b
S1,C,100.0,3.0,5.0,val,0,0,0.0,0.0,0.0,0.0,0.0,0.8815335035324097,0.8946604132652283,1.0
S1,C,100.0,3.0,5.0,val,0,1,0.0,0.0,0.0,0.0,0.0,0.9101027846336365,0.9166641235351562,1.0
S1,C,100.0,3.0,5.0,val,0,2,0.0,0.0,0.0,0.0,0.0,0.9198906421661377,0.9092786312103271,1.0
S1,C,100.0,3.0,5.0,val,0,3,0.0,0.0,0.0,0.0,0.0,0.8980007171630859,0.9076060056686401,1.0
S1,C,100.0,3.0,5.0,val,0,4,0.0,0.0,0.0,0.0,0.0,0.8749733567237854,0.9083595871925354,1.0
S1,C,100.0,3.0,5.0,val,0,5,0.0,0.0,0.0,0.0,0.0,0.8974878191947937,0.8884289860725403,1.0
S1,C,100.0,3.0,5.0,val,0,6,0.0,0.0,0.0,0.0,0.0,0.9028367400169373,0.9094657301902771,1.0
S1,C,100.0,3.0,5.0,val,0,7,0.0,0.0,0.0,0.0,0.0,0.8773165345191956,0.8949626684188843,1.0
S1,C,100.0,3.0,5.0,val,0,8,0.0,0.0,0.0,0.0,0.0,0.9077389240264893,0.9139108657836914,1.0
S1,C,100.0,3.0,5.0,val,0,9,0.0,0.0,0.0,0.0,0.0,0.8928536176681519,0.9127148985862732,1.0
S1,C,100.0,3.0,5.0,val,0,10,0.0,0.0,0.0,1.0,0.0,0.8962603807449341,0.9106289148330688,1.0
S1,C,100.0,3.0,5.0,val,0,11,0.0,0.0,0.0,0.0,0.0,0.9100873470306396,0.9208540320396423,1.0
S1,C,100.0,3.0,5.0,val,0,12,0.0,0.0,0.0,0.0,0.0,0.8963825702667236,0.8984778523445129,1.0
S1,C,100.0,3.0,5.0,val,0,13,0.0,0.0,0.0,0.0,0.0,0.8919174671173096,0.9085078239440918,1.0
S1,C,100.0,3.0,5.0,val,0,14,0.0,0.0,0.0,0.0,0.0,0.9153749346733093,0.9095417261123657,1.0
S1,C,100.0,3.0,5.0,val,0,15,0.0,0.0,0.0,0.0,0.0,0.8910428285598755,0.9097968339920044,1.0
S1,C,100.0,3.0,5.0,val,0,16,0.0,0.0,0.0,0.0,0.0,0.84483402967453,0.897305965423584,1.0
S1,C,100.0,3.0,5.0,val,0,17,0.0,0.0,0.0,0.0,0.0,0.9060429930686951,0.9044037461280823,1.0
S1,C,100.0,3.0,5.0,val,0,18,0.0,0.0,0.0,0.0,0.0,0.9037743210792542,0.9126116633415222,1.0
S1,C,100.0,3.0,5.0,val,0,19,0.0,0.0,0.0,0.0,0.0,0.9081003069877625,0.9050330519676208,1.0
S1,C,100.0,3.0,5.0,val,0,20,0.0,0.0,0.0,0.0,0.0,0.8971174955368042,0.906578004360199,1.0
S1,C,100.0,3.0,5.0,val,0,21,0.0,0.0,0.0,0.0,0.0,0.8987613916397095,0.9096217751502991,1.0
S1,C,100.0,3.0,5.0,val,0,22,0.0,0.0,0.0,0.0,0.0,0.9188485741615295,0.9073839783668518,1.0
S1,C,100.0,3.0,5.0,val,0,23,0.0,0.0,0.0,0.0,0.0,0.883101224899292,0.9005277752876282,1.0
S1,C,100.0,3.0,5.0,val,0,24,0.0,0.0,0.0,0.0,0.0,0.8968141674995422,0.8970939517021179,1.0
S1,C,100.0,3.0,5.0,val,0,25,0.0,0.0,0.0,0.0,0.0,0.9083593487739563,0.9135628938674927,1.0
S1,C,100.0,3.0,5.0,val,0,26,0.0,0.0,0.0,0.0,0.0,0.8913637399673462,0.9008597731590271,1.0
S1,C,100.0,3.0,5.0,val,0,27,0.0,0.0,0.0,0.0,0.0,0.9074897170066833,0.8976600170135498,1.0
S1,C,100.0,3.0,5.0,val,0,28,0.0,0.0,0.0,0.0,0.0,0.9030486941337585,0.9162565469741821,1.0
S1,C,100.0,3.0,5.0,val,0,29,0.0,0.0,0.0,0.0,0.0,0.903760552406311,0.9205936789512634,1.0
S1,C,100.0,3.0,5.0,val,0,30,0.0,0.0,0.0,0.0,0.0,0.9083994626998901,0.9118157029151917,1.0
S1,C,100.0,3.0,5.0,val,0,31,0.0,0.0,0.0,0.0,0.0,0.8998240232467651,0.908810555934906,1.0
S1,C,100.0,3.0,5.0,val,1,0,0.0,0.0,0.0,0.0,0.0,0.9069220423698425,0.8994897603988647,1.0
S1,C,100.0,3.0,5.0,val,1,1,0.0,0.0,0.0,0.0,0.0,0.9021852612495422,0.908570408821106,1.0
S1,C,100.0,3.0,5.0,val,1,2,0.0,0.0,0.0,0.0,0.0,0.8993711471557617,0.8979043960571289,1.0
S1,C,100.0,3.0,5.0,val,1,3,0.0,0.0,0.0,1.0,0.0,0.900100827217102,0.8967472314834595,1.0
S1,C,100.0,3.0,5.0,val,1,4,0.0,0.0,0.0,0.0,0.0,0.9077949523925781,0.9039121270179749,1.0
S1,C,100.0,3.0,5.0,val,1,5,0.0,0.0,0.0,0.0,0.0,0.9019695520401001,0.8922357559204102,1.0
